,Tour,Type,Duration,Price,Price Per,Cancellation,Tour By,City,Country,Image,Link to agency
13,Private Abu Dhabi Tour From Dubai,Bus Tours,6.0,75.0,per adult,Free cancellation,By My Tours UAE - Day Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/ca/fc/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d2549263-Reviews-My_Tours_UAE_Day_Tours-Dubai_Emirate_of_Dubai.html
14,"Abu Dhabi Sightseeing Tour: Sheikh Zayed Mosque, Heritage Village & Dates Market",Bus Tours,4.0,52.0,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/a4/2c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
15,Premium Abu Dhabi Half Day Tour from Dubai,Private and Luxury,5.0,100.0,per adult,Free cancellation,By Desert Thrill,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f0/df/33/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d15611150-Reviews-Desert_Thrill-Dubai_Emirate_of_Dubai.html
16,Ferrari World Abu Dhabi Admission Ticket,Parks,10.0,97.0,per adult,Free cancellation,By Royal Smart Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/21/6e/75/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d19980932-Reviews-Royal_Smart_Tourism-Dubai_Emirate_of_Dubai.html
17,Abu Dhabi City Tour in 4x4 Private Vehicle,Full-day Tours,8.5,270.29,per group,Free cancellation,By Your Choice Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/dd/15/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d16815145-Reviews-Your_Choice_Tourism-Dubai_Emirate_of_Dubai.html
18,Abu Dhabi Full-Day Small-Group Tour With Lunch From Dubai,Bus Tours,6.0,63.0,per adult,Free cancellation,By Travel Dubai,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b4/1a/c2/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21104669-Reviews-Travel_Dubai-Dubai_Emirate_of_Dubai.html
19,Abu Dhabi City Tour With Presidential Palace Entrance - Guided Tour,Bus Tours,6.0,118.0,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/bf/65/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
21,Sheikh Zayed Mosque Half Day Tour from Dubai by OceanAir™️,Bus Tours,5.5,63.0,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6d/33/bc/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
22,Abu Dhabi Mosque and Ferrari World tour from Dubai,Bus Tours,6.0,117.0,per adult,Free cancellation,By Gray Line Emirates & Oman,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/8f/a9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10038186-Reviews-Gray_Line_Emirates_Oman-Dubai_Emirate_of_Dubai.html
23,Private Abu Dhabi City Tour with Ferrari World,Car Tours,11.5,230.0,per adult,Free cancellation,By Navita tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/56/08/62/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d17652977-Reviews-Navita_tours-Dubai_Emirate_of_Dubai.html
24,Half-Day Sheikh Zayed Grand Mosque Tour & Dubai Evening Desert Safari Combo,Adventure Tours,6.0,80.0,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5f/dd/5d/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
25,Dubai Sightseeing Day Trip from Abu Dhabi,Bus Tours,6.0,86.0,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/66/16/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
26,"Abu Dhabi Desert Morning Safari: 4x4 Dune Bash, Camel Ride and Sandboarding",Shore Excursions,3.0,72.0,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f0/cc/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
27,Abu Dhabi Half Day City Tour,Classic Car Tours,4.0,56.9,per adult,Free cancellation,By My Arabian Gate Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/c9/e7/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d19644247-Reviews-My_Arabian_Gate_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
28,Full-Day Abu Dhabi City Tour from Abu Dhabi,Shore Excursions,7.5,110.0,per adult,Free cancellation,By Golden Link Travel and Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/5a/3d/5d/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d17424490-Reviews-Golden_Link_Travel_and_Tourism-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
29,Evening Desert Safari Abu Dhabi,Adventure Tours,6.0,70.75,per adult,Free cancellation,By Desert Dreams Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/78/79/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d19229105-Reviews-Desert_Dreams_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
30,Private Morning Desert Safari with Camel Ride & Sand Skiing,Adventure Tours,4.5,239.25,per group,Free cancellation,By Desert Dreams Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/5c/eb/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d19229105-Reviews-Desert_Dreams_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
31,Le Café at iconic Emirates Palace Abu Dhabi,Walking Tours,1.5,48.5,per adult,Free cancellation,By Orient Tours LLC - Day Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/15/f6/85/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2050091-Reviews-Orient_Tours_LLC_Day_Tours-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
36,Private Abu Dhabi tour with Emirati Guide,Bus Tours,5.0,206.81,per adult,Free cancellation,By Hiara Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/c8/44/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d15354989-Reviews-Hiara_Tours-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
37,Dubai Beautiful Desert By Hot Air Balloon,Adventure Tours,4.5,335.0,per adult,Free cancellation,By Dubai Egy Travel,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c7/24/0c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d20258081-Reviews-Dubai_Egy_Travel-Dubai_Emirate_of_Dubai.html
38,Abu Dhabi City Tour Private,Bus Tours,7.5,300.0,per group,Free cancellation,By Desert Fun Tourism LLC,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/5f/57/6f/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d12492254-Reviews-Desert_Fun_Tourism_LLC-Dubai_Emirate_of_Dubai.html
39,Abu Dhabi City Tour From Dubai,Bus Tours,8.5,45.0,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/be/ff/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
40,Day Tour: Ferrari World Trip with transfers from Dubai,Bus Tours,8.5,180.0,per adult,Free cancellation,By Top 10 Dubai Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/1b/95/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d12183473-Reviews-Top_10_Dubai_Tours-Dubai_Emirate_of_Dubai.html
42,Abu Dhabi Sheikh Zayed Grand Mosque with Coffee at Emirates Palace from Dubai,Bus Tours,6.0,65.13,per adult,Free cancellation,By Oscar Knight Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/d6/d0/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d13901595-Reviews-Oscar_Knight_Tours-Dubai_Emirate_of_Dubai.html
43,From Dubai: Grand Mosque & Louvre Museum Abu Dhabi Tour,Bus Tours,6.0,109.0,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/18/bd/c9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
44,Private Abu Dhabi City Guided Tour,Bus Tours,6.0,80.0,per adult,Free cancellation,By Holidays District,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/49/e2/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d18933335-Reviews-Holidays_District-Dubai_Emirate_of_Dubai.html
45,Private Morning Desert Safari,Ports of Call Tours,4.0,130.0,per adult,Free cancellation,By My Arabian Gate Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/63/a4/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d19644247-Reviews-My_Arabian_Gate_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
46,Private Abu Dhabi Sheikh zayed mosque with Louver Museum & Emirates Place Tea,Bus Tours,6.0,200.0,per adult,Free cancellation,By Navita tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/e4/d7/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d17652977-Reviews-Navita_tours-Dubai_Emirate_of_Dubai.html
47,Yas Water World Abu Dhabi Entry Ticket,Theme Parks,0.08,82.0,per adult,Free cancellation,By holidayys.com,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/16/e6/57/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21010784-Reviews-Holidayys_com-Dubai_Emirate_of_Dubai.html
48,Warner Bros Full Day Pass,Parks,7.0,95.0,per adult,Free cancellation,By MAK Travel & Tourism LLC,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d1/4c/ff/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d17748304-Reviews-MAK_Travel_Tourism_LLC-Dubai_Emirate_of_Dubai.html
50,Abu Dhabi Guided City Tour Including Ferrari World Tickets From Dubai,Bus Tours,9.5,241.59,per adult,Free cancellation,By Cyan Oasis Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/a4/2b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d18964531-Reviews-Cyan_Oasis_Tours-Dubai_Emirate_of_Dubai.html
51,"From Dubai: Abu Dhabi Qasr Al Watan Palace, Etihad Tower, Grand Mosque Tour",Bus Tours,9.5,109.0,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/c8/b9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
52,Sunrise Desert Safari Tour from Abu Dhabi,Shore Excursions,3.0,73.22,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/59/49/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
53,Warner Bros World and Ferrari World Combo Ticket with transfer from Dubai,Theme Parks,9.0,204.37,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6f/b2/4d/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
54,Full Day Abu Dhabi Sightseeing Tour with Grand Mosque Visit from Dubai,Bus Tours,8.5,70.0,per adult,Free cancellation,By Saifco Travel & Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/07/8c/93/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d11744006-Reviews-Saifco_Travel_Tourism-Dubai_Emirate_of_Dubai.html
55,Full Day Abu Dhabi City Tour With Louvre Museum Tickets,Bus Tours,6.0,91.0,per adult,Free cancellation,By Saifco Travel & Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/35/fb/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d11744006-Reviews-Saifco_Travel_Tourism-Dubai_Emirate_of_Dubai.html
56,Private Tour : Louvre Museum Abu Dhabi & Sheikh Zayed Grand Mosque visit,Bus Tours,6.0,195.0,per adult,Free cancellation,By Dubai Cola Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8b/c4/3b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10211669-Reviews-Dubai_Cola_Tours-Dubai_Emirate_of_Dubai.html
58,Abu Dhabi Morning Desert Safari,Adventure Tours,4.0,60.0,per adult,Free cancellation,By Extreme Arabia,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c1/c0/f5/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g2630227-d15329153-Reviews-Extreme_Arabia-Emirate_of_Abu_Dhabi.html
59,Ferrari World Theme Park and Grand Mosque Abu Dhabi Tour,Adventure Tours,8.5,158.0,per adult,Free cancellation,By Top 10 Dubai Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/05/82/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d12183473-Reviews-Top_10_Dubai_Tours-Dubai_Emirate_of_Dubai.html
60,Abu Dhabi Guided Sightseeing Boat Tours,Shore Excursions,1.32,41.59,per adult,Free cancellation,By THE YELLOW BOATS,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/56/66/ce/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d23558799-Reviews-THE_YELLOW_BOATS-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
61,Abu Dhabi Full day Tour without lunch from Dubai,Bus Tours,6.0,36.0,per adult,Free cancellation,By Gray Line Emirates & Oman,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/8f/7f/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10038186-Reviews-Gray_Line_Emirates_Oman-Dubai_Emirate_of_Dubai.html
62,Private Sheikh Zayed Grand Mosque Tour,Walking Tours,1.5,108.85,per adult,Free cancellation,By Hiara Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7d/e8/0a/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d15354989-Reviews-Hiara_Tours-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
64,Big Bus Abu Dhabi Hop-On Hop-Off Tour,Bus Tours,2.0,72.0,per adult,Free cancellation,By Big Bus Tours Abu Dhabi,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/bf/70/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2269779-Reviews-Big_Bus_Tours_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
68,Abu Dhabi Private Desert Romantic Dune Dinner with Dune Bashing,Shore Excursions,6.0,499.0,per adult,Free cancellation,By Trip Arabia Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8e/75/ee/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d17695157-Reviews-Trip_Arabia_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
70,Abu Dhabi City Tour with Sheikh Zayed Grand Mosque,Classic Car Tours,9.0,75.0,per adult,Free cancellation,By Navita tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a0/53/7c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d17652977-Reviews-Navita_tours-Dubai_Emirate_of_Dubai.html
71,Abdu Dhabi morning desert safari - Private car,Bus Tours,3.33,250.0,per group,Free cancellation,By Khat Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/27/d8/33/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10898020-Reviews-Khat_Tours_and_Safaris-Dubai_Emirate_of_Dubai.html
72,From Dubai : Abu Dhbai Tour Including Le Louvre Museum Ticket,Car Tours,8.5,179.0,per adult,Free cancellation,By Travtur,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dc/ed/48/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d12070965-Reviews-Travtur-Dubai_Emirate_of_Dubai.html
73,Al Ain Day Trip from Abu Dhabi with Lunch,Bus Tours,6.0,112.71,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/72/9a/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
74,Abu Dhabi City Tour with Sheikh Zayed Grand Mosque Visit,Bus Tours,8.5,59.0,per adult,Free cancellation,By Tribal Trails Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/71/bb/a2/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d8837495-Reviews-Tribal_Trails_Tours-Dubai_Emirate_of_Dubai.html
75,Admission Ticket to Ferrari World in Abu Dhabi,Theme Parks,4.5,98.0,per adult,Free cancellation,By holidayys.com,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/12/25/0a/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21010784-Reviews-Holidayys_com-Dubai_Emirate_of_Dubai.html
77,Abu Dhabi Mosque and Louvre Museum with Lunch from Dubai,Bus Tours,6.0,84.0,per adult,Free cancellation,By Gray Line Emirates & Oman,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/8f/80/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10038186-Reviews-Gray_Line_Emirates_Oman-Dubai_Emirate_of_Dubai.html
78,"Abu Dhabi Desert Tour With BBQ Dinner, Camel Ride and Belly Dance Hotel Pickup",Adventure Tours,6.0,100.0,per adult,Free cancellation,By Clifton Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/86/a3/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g298064-d15748074-Reviews-Clifton_Tours-Sharjah_Emirate_of_Sharjah.html
79,Full-Day Small-Group Abu Dhabi Louvre and Grand Mosque Tour from Dubai,Bus Tours,8.5,109.0,per adult,Free cancellation,By Dubai Packages,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/02/b4/85/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d11888796-Reviews-Dubai_Packages-Dubai_Emirate_of_Dubai.html
