cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 3,iPqaD href 3,WlYyy 4,WlYyy 5,ySnDE,WlYyy 6,ccVGl,WlYyy 8,ccVGl 2,WlYyy 9,dXxty
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Barrel Run,https://www.tripadvisor.com/AttractionProductReview-g35805-d11473230-Chicago_Craft_Brewery_Barrel_Bus_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ff/d0/92/caption.jpg?w=500&h=400&s=1,Chicago Craft Brewery Barrel Bus Tour,10.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11473230-Chicago_Craft_Brewery_Barrel_Bus_Tour-Chicago_Illinois.html#REVIEWS,31,https://www.tripadvisor.com/Attraction_Review-g35805-d8430095-Reviews-The_Barrel_Run-Chicago_Illinois.html,Bus Tours,3–4 hours,"There’s never been a better time to be a beer drinker — and Chicago, with its thriving brewery scene and many destination…",Free cancellation,from,$89.60,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By See it All Chicago Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451900-Chicago_City_Minibus_Tour_with_Optional_Architecture_River_Cruise-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/44/ba/6d/caption.jpg?w=500&h=400&s=1,Chicago City Minibus Tour with Optional Architecture River Cruise,11.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451900-Chicago_City_Minibus_Tour_with_Optional_Architecture_River_Cruise-Chicago_Illinois.html#REVIEWS,270,https://www.tripadvisor.com/Attraction_Review-g35805-d2642801-Reviews-See_it_All_Chicago_Tours-Chicago_Illinois.html,Bus Tours,2–4 hours,"Enjoy Chicago’s famous sights and fabulous views on this award-winning small-group sightseeing tour of the city. 

Travel…",Free cancellation,from,$39.95,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By CityPASS Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d12463204-Chicago_CityPASS-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/33/ef/bf/caption.jpg?w=500&h=400&s=1,Chicago CityPASS,12.,https://www.tripadvisor.com/AttractionProductReview-g35805-d12463204-Chicago_CityPASS-Chicago_Illinois.html#REVIEWS,80,https://www.tripadvisor.com/Attraction_Review-g35805-d19601250-Reviews-CityPASS_Chicago-Chicago_Illinois.html,Aquariums,3+ days,Chicago CityPASS® — Discover Chicago's best attractions at one great price with an easy to use mobile ticket. Spend less…,Free cancellation,from,$114.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Blue Man Group,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451656-Blue_Man_Group_at_the_Briar_Street_Theater_in_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/b5/f0/73/caption.jpg?w=500&h=400&s=1,Blue Man Group at the Briar Street Theater in Chicago,13.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451656-Blue_Man_Group_at_the_Briar_Street_Theater_in_Chicago-Chicago_Illinois.html#REVIEWS,21,https://www.tripadvisor.com/Attraction_Review-g35805-d563697-Reviews-Blue_Man_Group-Chicago_Illinois.html,Family-friendly Shows,1–2 hours,Blue Man Group will rock your world. Blow your mind. And unleash your spirit. As three bald and blue men explore our world…,Free cancellation,from,$56.69,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Studio W.I.P. By Native 312 Events,https://www.tripadvisor.com/AttractionProductReview-g35805-d14986847-BYOB_Chicago_Spray_Paint_n_Sip_at_Studio_W_I_P-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e0/9b/13/caption.jpg?w=500&h=400&s=1,BYOB Chicago Spray Paint 'n' Sip at Studio W.I.P.,14.,https://www.tripadvisor.com/AttractionProductReview-g35805-d14986847-BYOB_Chicago_Spray_Paint_n_Sip_at_Studio_W_I_P-Chicago_Illinois.html#REVIEWS,56,https://www.tripadvisor.com/Attraction_Review-g35805-d12548049-Reviews-Studio_W_I_P_By_Native_312_Events-Chicago_Illinois.html,Painting Classes,1–2 hours,Studio W.I.P. by Native 312 Events offers a unique spin on BYOB paint night! Join us as we host an intimate look into the…,Free cancellation,from,$40.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Magic Parlour,https://www.tripadvisor.com/AttractionProductReview-g35805-d23475907-Admission_to_The_Magic_Parlour_Starring_Dennis_Watkins-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/33/1d/fd/caption.jpg?w=500&h=400&s=1,Admission to The Magic Parlour Starring Dennis Watkins,15.,https://www.tripadvisor.com/AttractionProductReview-g35805-d23475907-Admission_to_The_Magic_Parlour_Starring_Dennis_Watkins-Chicago_Illinois.html#REVIEWS,20,https://www.tripadvisor.com/Attraction_Review-g35805-d3692742-Reviews-The_Magic_Parlour-Chicago_Illinois.html,Comedy Shows,2 hours,"The Magic Parlour is Chicago's longest-running magic show. Performed by 3rd-Generation Magician Dennis Watkins, the close…",Free cancellation,from,$65.60,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Field Museum,https://www.tripadvisor.com/AttractionProductReview-g35805-d11989745-Field_Museum_of_Natural_History_Admission_Tickets-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/8a/caption.jpg?w=500&h=400&s=1,Field Museum of Natural History Admission Tickets,16.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11989745-Field_Museum_of_Natural_History_Admission_Tickets-Chicago_Illinois.html#REVIEWS,123,https://www.tripadvisor.com/Attraction_Review-g35805-d103999-Reviews-Field_Museum-Chicago_Illinois.html,Attractions & Museums,4 hours,"Explore over 40 million artifacts, including SUE, the world’s largest, most complete T. rex ever discovered! Discover 23…",Free cancellation,from,$26.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Babylon Tours Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d23212437-Art_Institute_of_Chicago_Private_Guided_Tour_with_Skip_the_Line_Ticket-Chicago_Illi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b7/38/8c/caption.jpg?w=500&h=400&s=1,Art Institute of Chicago Private Guided Tour with Skip-the-Line Ticket,17.,https://www.tripadvisor.com/AttractionProductReview-g35805-d23212437-Art_Institute_of_Chicago_Private_Guided_Tour_with_Skip_the_Line_Ticket-Chicago_Illi.html#REVIEWS,21,https://www.tripadvisor.com/Attraction_Review-g35805-d15844388-Reviews-Babylon_Tours_Chicago-Chicago_Illinois.html,Walking Tours,120–150 minutes,"The Art Institute of Chicago attracts nearly as many visitors as other leading galleries like the Met, Louvre & British …",Free cancellation,from,$100.70,per adult,More info,
,By iFLY Indoor Skydiving - Chicago (Lincoln Park),https://www.tripadvisor.com/AttractionProductReview-g35805-d14145573-Chicago_Lincoln_Park_Indoor_Skydiving_with_2_Flights_Personalized_Certificate-Chica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/35/7d/10/caption.jpg?w=500&h=400&s=1,Chicago-Lincoln Park Indoor Skydiving with 2 Flights & Personalized Certificate,18.,https://www.tripadvisor.com/AttractionProductReview-g35805-d14145573-Chicago_Lincoln_Park_Indoor_Skydiving_with_2_Flights_Personalized_Certificate-Chica.html#REVIEWS,9,https://www.tripadvisor.com/Attraction_Review-g35805-d10077577-Reviews-IFLY_Indoor_Skydiving_Chicago_Lincoln_Park-Chicago_Illinois.html,,1–2 hours,"When you arrive at the Chicago Lincoln Park indoor skydiving location, get started by putting on your provided gear and …",,from,$92.64,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Underground Donut Tour,https://www.tripadvisor.com/AttractionProductReview-g35805-d11989404-Underground_Donut_Tour_Chicago_s_First_Donut_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/6b/caption.jpg?w=500&h=400&s=1,Underground Donut Tour: Chicago's First Donut Tour,19.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11989404-Underground_Donut_Tour_Chicago_s_First_Donut_Tour-Chicago_Illinois.html#REVIEWS,239,https://www.tripadvisor.com/Attraction_Review-g35805-d8355586-Reviews-Underground_Donut_Tour-Chicago_Illinois.html,City Tours,2 hours,"We've always had a passion for donuts, but only recently did we realize just how many others do too. And when looking around…",Free cancellation,from,$40.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bobby's Bike Hike Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d12314214-Chicago_s_Chinatown_Food_and_Walking_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c1/75/48/caption.jpg?w=500&h=400&s=1,Chicago's Chinatown Food and Walking Tour,20.,https://www.tripadvisor.com/AttractionProductReview-g35805-d12314214-Chicago_s_Chinatown_Food_and_Walking_Tour-Chicago_Illinois.html#REVIEWS,35,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html,City Tours,3 hours,Few neighborhoods in America combine such delicious cuisine with such fascinating history as Chicago’s Chinatown. Join Bobby…,Free cancellation,from,$74.99,per adult,More info,Taking safety measures
,By Go City | Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d12181674-Go_City_Chicago_Explorer_Pass_Choose_2_3_4_5_6_or_7_Attractions-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/15/5d/7d/caption.jpg?w=500&h=400&s=1,"Go City: Chicago Explorer Pass - Choose 2, 3, 4, 5, 6 or 7 Attractions",21.,https://www.tripadvisor.com/AttractionProductReview-g35805-d12181674-Go_City_Chicago_Explorer_Pass_Choose_2_3_4_5_6_or_7_Attractions-Chicago_Illinois.html#REVIEWS,57,https://www.tripadvisor.com/Attraction_Review-g35805-d19512900-Reviews-Go_City_Chicago-Chicago_Illinois.html,Bus Tours,3+ days,"Create your own sightseeing itinerary with the Chicago Explorer Pass, saving up to 45% off compared to buying individual…",,from,$59.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By See it All Chicago Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d19985534-Chicago_City_Minibus_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/44/ba/61/caption.jpg?w=500&h=400&s=1,Chicago City Minibus Tour,22.,https://www.tripadvisor.com/AttractionProductReview-g35805-d19985534-Chicago_City_Minibus_Tour-Chicago_Illinois.html#REVIEWS,54,https://www.tripadvisor.com/Attraction_Review-g35805-d2642801-Reviews-See_it_All_Chicago_Tours-Chicago_Illinois.html,Bus Tours,2 hours,Enjoy Chicago’s famous sights and fabulous skyline views on this award-winning small-group sightseeing tour of the city. …,Free cancellation,from,$39.95,per adult,More info,
,By City Experiences By Hornblower,https://www.tripadvisor.com/AttractionProductReview-g35805-d17182609-Premier_Chicago_River_Architectural_Lunch_Cruise-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/cd/a6/caption.jpg?w=500&h=400&s=1,Premier Chicago River Architectural Lunch Cruise,23.,,,https://www.tripadvisor.com/Attraction_Review-g35805-d2205635-Reviews-City_Experiences_By_Hornblower-Chicago_Illinois.html,Lunch Cruises,2 hours,"Come aboard the Odyssey Chicago River for a delicious, freshly prepared meal while taking in the best views of Chicago's…",,from,$105.05,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Drunk Shakespeare,https://www.tripadvisor.com/AttractionProductReview-g35805-d19403257-Drunk_Shakespeare_Performance_in_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/69/caption.jpg?w=500&h=400&s=1,Drunk Shakespeare Performance in Chicago,24.,https://www.tripadvisor.com/AttractionProductReview-g35805-d19403257-Drunk_Shakespeare_Performance_in_Chicago-Chicago_Illinois.html#REVIEWS,61,https://www.tripadvisor.com/Attraction_Review-g35805-d17441351-Reviews-Drunk_Shakespeare-Chicago_Illinois.html,Comedy Shows,1–2 hours,,Free cancellation,from,$25.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Pizza Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451970-Chicago_Pizza_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7b/e1/29/caption.jpg?w=500&h=400&s=1,Chicago Pizza Tour,25.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451970-Chicago_Pizza_Tour-Chicago_Illinois.html#REVIEWS,137,https://www.tripadvisor.com/Attraction_Review-g35805-d1786939-Reviews-Chicago_Pizza_Tours-Chicago_Illinois.html,Bus Tours,3–4 hours,Enjoy Chicago’s only bus guided neighborhood pizza tour.  Eat like a local as you travel off the beaten path into Chicago…,Free cancellation,from,$75.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wendella,https://www.tripadvisor.com/AttractionProductReview-g35805-d21314816-Chicago_Sunset_Cruise-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d3/e6/e5/caption.jpg?w=500&h=400&s=1,Chicago Sunset Cruise,26.,https://www.tripadvisor.com/AttractionProductReview-g35805-d21314816-Chicago_Sunset_Cruise-Chicago_Illinois.html#REVIEWS,24,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html,Adventure Tours,1–2 hours,The Sunset Cruise departs near the DuSable (Michigan Avenue) Bridge on Wendella's world class tour boats. Enjoy the beautiful…,Free cancellation,from,$40.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wendella,https://www.tripadvisor.com/AttractionProductReview-g35805-d16656966-Chicago_Lake_and_River_Architecture_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/86/2d/c9/caption.jpg?w=500&h=400&s=1,Chicago Lake and River Architecture Tour,27.,https://www.tripadvisor.com/AttractionProductReview-g35805-d16656966-Chicago_Lake_and_River_Architecture_Tour-Chicago_Illinois.html#REVIEWS,181,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html,City Tours,1–2 hours,"An authentic Chicago tradition since 1935, this is the tour that started it all. This unique excursion tells the story of…",Free cancellation,from,$40.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Field Museum,https://www.tripadvisor.com/AttractionProductReview-g35805-d15303595-Field_Museum_of_Natural_History_Discovery_Pass-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6a/30/39/caption.jpg?w=500&h=400&s=1,Field Museum of Natural History Discovery Pass,28.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15303595-Field_Museum_of_Natural_History_Discovery_Pass-Chicago_Illinois.html#REVIEWS,12,https://www.tripadvisor.com/Attraction_Review-g35805-d103999-Reviews-Field_Museum-Chicago_Illinois.html,Attractions & Museums,1–8 hours,Delve deep into the world of natural history with your Field Museum Discovery Pass in Chicago.  Your pass includes access…,Free cancellation,from,$34.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Personal Neighborhood Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d23362958-Full_Day_Small_Group_Tour_of_Chicago_Neighborhoods_with_Lunch_and_Dinner-Chicago_Il.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/90/96/52/caption.jpg?w=500&h=400&s=1,Full-Day Small-Group Tour of Chicago Neighborhoods with Lunch and Dinner,29.,https://www.tripadvisor.com/AttractionProductReview-g35805-d23362958-Full_Day_Small_Group_Tour_of_Chicago_Neighborhoods_with_Lunch_and_Dinner-Chicago_Il.html#REVIEWS,7,https://www.tripadvisor.com/Attraction_Review-g35805-d23325860-Reviews-Chicago_Personal_Neighborhood_Tours-Chicago_Illinois.html,Bus Tours,6+ hours,This unique tour of Chicago will allow for tourist to see most of Chicago’s 77 neighborhoods and city parks. There is no…,Free cancellation,from,$175.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Private Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d15525672-Chicago_Private_Tours-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/dd/46/44/caption.jpg?w=500&h=400&s=1,Chicago Private Tours,30.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15525672-Chicago_Private_Tours-Chicago_Illinois.html#REVIEWS,136,https://www.tripadvisor.com/Attraction_Review-g35805-d2052431-Reviews-Chicago_Private_Tours-Chicago_Illinois.html,Bus Tours,3–4 hours,PRICE IS PER VEHICLE AND YOU MAY BRING UP TO 4 PASSENGERS TOTAL.  Thank you for contacting Chicago Private Tours! We would…,Free cancellation,from,$425.34,per group,More info,
,,,,,,,,,,,,,,,,,
,,,,,,,What are the best places for tours in Chicago?,,Which places provide the best tours in Chicago for kids and families?,Which places provide the best tours in Chicago for couples?,,Which places provide the best tours in Chicago for groups?,,Which places provide the most romantic tours in Chicago?,,Which places provide the best hidden gems for tours in Chicago?,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Shoreline Sightseeing,https://www.tripadvisor.com/AttractionProductReview-g35805-d11452109-Chicago_Architecture_River_Cruise-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/16/caption.jpg?w=500&h=400&s=1,Chicago Architecture River Cruise,1.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11452109-Chicago_Architecture_River_Cruise-Chicago_Illinois.html#REVIEWS,"2,725",https://www.tripadvisor.com/Attraction_Review-g35805-d534489-Reviews-Shoreline_Sightseeing-Chicago_Illinois.html,City Tours,1 hour,Experience one of the world’s most beautiful cities on a cruise down the historic Chicago River. On this architecture cruise…,Free cancellation,from,$46.87,per adult,More info,
,,,,,,,3,,,,,,,,,,
"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,,,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Segway Experience of Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d19422156-2_Hour_Guided_Segway_Tour_of_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/69/f9/caption.jpg?w=500&h=400&s=1,2-Hour Guided Segway Tour of Chicago,31.,https://www.tripadvisor.com/AttractionProductReview-g35805-d19422156-2_Hour_Guided_Segway_Tour_of_Chicago-Chicago_Illinois.html#REVIEWS,112,https://www.tripadvisor.com/Attraction_Review-g35805-d2092320-Reviews-Segway_Experience_of_Chicago-Chicago_Illinois.html,Segway Tours,2 hours,2 hours of being a kid again!!! Take a Segway tour with us and discover how beautiful Chicago truly is. Ride through some…,Free cancellation,from,$65.00,per adult,More info,
