WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,dXxty,ccVGl,WlYyy 4,ccVGl 2,WlYyy 5,WlYyy 6,WlYyy 7,cctrW 2
9,,By Kamal Arts,https://www.tripadvisor.com/AttractionProductReview-g294265-d17475625-Batik_painting_class-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d17475625-Batik_painting_class-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/84/68/45/caption.jpg?w=500&h=400&s=1,Batik painting class,10.,https://www.tripadvisor.com/Attraction_Review-g294265-d12841872-Reviews-Kamal_Arts-Singapore.html,Painting Classes,2 hours,Learn a distinctively art form by a local artist. Very simple instructions in a safe environment. Ask artist questions about…,,from,$41.96,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
139,,By GlobalTix Pte Ltd,https://www.tripadvisor.com/AttractionProductReview-g294265-d13203154-Marina_Bay_Sands_SkyPark_Observation_Deck_Admission_Ticket-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13203154-Marina_Bay_Sands_SkyPark_Observation_Deck_Admission_Ticket-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/db/85/caption.jpg?w=500&h=400&s=1,Marina Bay Sands SkyPark Observation Deck Admission Ticket,11.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Skyscrapers & Towers,45–60 minutes,The Sands SkyPark is an architectural masterpiece sitting on top of the three hotel towers at Marina Bay Sands. This 1.2…,Taking safety measures,from,$11.25,per adult,More info,,,
,,By Monster Day Tours,,https://www.tripadvisor.com/AttractionProductReview-g294265-d20321338-Private_Singapore_Melting_Pot_of_Tea_Experience_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/27/ca/f2/caption.jpg?w=500&h=400&s=1,Private Singapore Melting Pot of Tea Experience Tour,12.,https://www.tripadvisor.com/Attraction_Review-g294265-d11983460-Reviews-Monster_Day_Tours-Singapore.html,Walking Tours,3–4 hours,"Being a country proud of its racial diversity, the tea culture that developed in Singapore was as mixed as the local population…",Taking safety measures,from,$162.98,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
111,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Singapore Foodsters,https://www.tripadvisor.com/AttractionProductReview-g294265-d11458195-UNESCO_Hawker_Centre_Street_Food_Tasting_Tour_in_3_Ethnic_Neighbourhoods-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11458195-UNESCO_Hawker_Centre_Street_Food_Tasting_Tour_in_3_Ethnic_Neighbourhoods-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/21/68/caption.jpg?w=500&h=400&s=1,UNESCO Hawker Centre Street Food Tasting Tour in 3 Ethnic Neighbourhoods,13.,https://www.tripadvisor.com/Attraction_Review-g294265-d8526123-Reviews-Singapore_Foodsters-Singapore.html,Public Transportation Tours,4–5 hours,"This exciting tour brings you to the ethnic neighbourhoods of Chinatown, Little India and Kampong Gelam. You will learn …",,from,$117.53,per adult,More info,99% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
80,,By Big Bus Tours,https://www.tripadvisor.com/AttractionProductReview-g294265-d13203189-Big_Bus_Singapore_Hop_On_Hop_Off_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13203189-Big_Bus_Singapore_Hop_On_Hop_Off_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8f/1e/a7/caption.jpg?w=500&h=400&s=1,Big Bus Singapore Hop-On Hop-Off Tour,14.,https://www.tripadvisor.com/Attraction_Review-g294265-d15584525-Reviews-Big_Bus_Tours-Singapore.html,Bus Tours,1 hour,Discover Singapore's sights onboard an open-top bus with Big Bus Tours. Explore the city across 6 routes and enjoy views…,Taking safety measures,from,$29.49,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
508,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Let's Go Tour Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d21200118-Let_s_Go_Kelong_Boat_Tour_at_Pulau_Ubin-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d21200118-Let_s_Go_Kelong_Boat_Tour_at_Pulau_Ubin-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b5/b9/fd/caption.jpg?w=500&h=400&s=1,Let's Go Kelong Boat Tour at Pulau Ubin,15.,https://www.tripadvisor.com/Attraction_Review-g294264-d21180327-Reviews-Let_s_Go_Tour_Singapore-Sentosa_Island.html,Power Boats,3 hours,"Escape the concrete jungle, it’s time for an adventure! Get out to sea on our fine catamaran and discover the North Eastern…",,from,$103.00,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
124,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Bike Around Tour,https://www.tripadvisor.com/AttractionProductReview-g294265-d14969516-Pulau_Ubin_Bike_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d14969516-Pulau_Ubin_Bike_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/53/ad/7d/caption.jpg?w=500&h=400&s=1,Pulau Ubin Bike Tour,16.,https://www.tripadvisor.com/Attraction_Review-g294265-d13222009-Reviews-Bike_Around_Tour-Singapore.html,Adventure Tours,4 hours,"Looking for some adventurous and educational things to do in Singapore? Join this 4-5 hour bike tour, to explore our well…",,from,$76.30,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
101,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181842-The_10_Tastings_of_Singapore_With_Locals_Private_Street_Food_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181842-The_10_Tastings_of_Singapore_With_Locals_Private_Street_Food_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5d/5c/caption.jpg?w=500&h=400&s=1,The 10 Tastings of Singapore With Locals: Private Street Food Tour,17.,https://www.tripadvisor.com/Attraction_Review-g294265-d12697774-Reviews-Withlocals-Singapore.html,Public Transportation Tours,3 hours,Eat your way through Singapore's culinary scene on a private food tour. Go on a delicious journey as you try 10 of the best…,,from,$95.16,per adult,More info,96% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By Sightseeing Singapore,,https://www.tripadvisor.com/AttractionProductReview-g294265-d20271607-Singapore_Axe_Throwing_Experience-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/59/69/27/caption.jpg?w=500&h=400&s=1,Singapore : Axe Throwing Experience,18.,https://www.tripadvisor.com/Attraction_Review-g294264-d19894974-Reviews-Sightseeing_Singapore-Sentosa_Island.html,Walking Tours,60–120 minutes,"Take a break from all the sightseeing and shopping in Singapore and visit Axe Factor, the country’s first ever axe throwing…",Taking safety measures,from,$25.53,per adult,More info,,,
,,By MAM Holidays Singapore,,https://www.tripadvisor.com/AttractionProductReview-g294265-d20187046-Skip_the_Line_Marina_Bay_Sands_Skypark_Observation_Deck_Ticket-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/07/30/caption.jpg?w=500&h=400&s=1,Skip the Line: Marina Bay Sands Skypark Observation Deck Ticket,19.,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html,Skyscrapers & Towers,45 minutes,Book this e-ticket to reserve your ticket in advance. This gravity-defying platform is one of the largest in the world. …,,from,$18.00,per adult,More info,,,
,,By GlobalTix Pte Ltd,,https://www.tripadvisor.com/AttractionProductReview-g294265-d21193440-Night_Safari-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b1/cc/c9/caption.jpg?w=500&h=400&s=1,Night Safari,20.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Zoo Tickets & Passes,4 hours,"Night Safari, the world’s first nocturnal wildlife park, is a 13-time winner of the Best Attraction category awarded by …",Taking safety measures,from,$45.29,per adult,More info,,,
32,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Avenue Link Transport Group,https://www.tripadvisor.com/AttractionProductReview-g294265-d11988800-Private_Singapore_Arrival_Transfer_Changi_Airport_to_Hotel-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11988800-Private_Singapore_Arrival_Transfer_Changi_Airport_to_Hotel-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/b4/46/caption.jpg?w=500&h=400&s=1,Private Singapore Arrival Transfer: Changi Airport to Hotel,21.,https://www.tripadvisor.com/Attraction_Review-g294265-d10358665-Reviews-Avenue_Link_Transport_Group-Singapore.html,,1 hour,Look forward to a pleasant beginning to your trip in Singapore with this convenient arrival transfer from the airport to…,,from,$61.04,per group,More info,90% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
228,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Let's Go Bike,https://www.tripadvisor.com/AttractionProductReview-g294265-d12898535-Historical_Singapore_Bike_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12898535-Historical_Singapore_Bike_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/bf/91/caption.jpg?w=500&h=400&s=1,Historical Singapore Bike Tour,22.,https://www.tripadvisor.com/Attraction_Review-g294265-d3561703-Reviews-Let_s_Go_Bike-Singapore.html,Walking Tours,4 hours,"Why go on a bike tour with Let's Go?

1) We own a fleet of well maintained FULL SIZE (26"" Wheels) Bikes!

2) We are a licensed…",,from,$61.04,per adult,More info,99% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By GlobalTix Pte Ltd,,https://www.tripadvisor.com/AttractionProductReview-g294265-d23710391-Motion_Art_Space-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/a5/e6/d9/caption.jpg?w=500&h=400&s=1,Motion Art Space,23.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Painting Classes,2 hours,Combine science with art to create amazing paintings! All it takes is a small push for gravity and inertia to do its work…,Taking safety measures,from,$53.26,per group,More info,,,
,,By MAM Holidays Singapore,,https://www.tripadvisor.com/AttractionProductReview-g294265-d20187037-Night_Safari_Ticket-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/07/1c/caption.jpg?w=500&h=400&s=1,Night Safari Ticket,24.,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html,Zoo Tickets & Passes,3 hours,"Book this e-ticket to reserve your ticket in advance. Explore the Night Safari, recognized as the first nocturnal zoo that…",,from,$47.30,per adult,More info,,,
,,By Oriental Travel and Tours,,https://www.tripadvisor.com/AttractionProductReview-g294265-d20868264-Private_Michelin_Premium_Food_Tour_with_Hawker_Centre_Chinatown_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4d/97/6d/caption.jpg?w=500&h=400&s=1,Private Michelin Premium Food Tour with Hawker Centre & Chinatown Tour,25.,https://www.tripadvisor.com/Attraction_Review-g294265-d15657416-Reviews-Oriental_Travel_and_Tours-Singapore.html,Walking Tours,3 hours,"- Taste the best food in Singapore, includes 2 different Michelin rated Restaurants and 2 other very famous food stalls. 

- …",,from,$83.30,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By GlobalTix Pte Ltd,,https://www.tripadvisor.com/AttractionProductReview-g294265-d23243877-Singapore_Discovery_Cruise_to_Marina_South_drop_off_St_John_s_Lazarus_Kusu-Singapo.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c1/09/d5/caption.jpg?w=500&h=400&s=1,"Singapore Discovery (Cruise to Marina South & drop off -St John's,Lazarus&Kusu)",26.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Airboat Tours,6+ hours,"Discover Singapore Southern Islands which include St John's Island, Lazarus Island and Kusu Island with Captain Sindo. Ferry…",Taking safety measures,from,$38.40,per adult,More info,,,
1,,By MAM Holidays Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d20187183-Singapore_Cable_Car_Sky_Pass-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d20187183-Singapore_Cable_Car_Sky_Pass-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/08/0c/caption.jpg?w=500&h=400&s=1,Singapore Cable Car Sky Pass,27.,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html,Skyscrapers & Towers,1 hour,"The Singapore Cable Car Sky Pass gives you a round trip journey on the Singapore Cable Car Sky Network, connecting the destinations…",,from,$18.78,per adult,More info,,,
61,,By Tour East Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d11449595-Nightout_at_Chinatown_Bugis_Village_Tour_includes_dinner-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11449595-Nightout_at_Chinatown_Bugis_Village_Tour_includes_dinner-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/e8/02/caption.jpg?w=500&h=400&s=1,Nightout at Chinatown & Bugis Village Tour (includes dinner),28.,https://www.tripadvisor.com/Attraction_Review-g294265-d2214169-Reviews-Tour_East_Singapore-Singapore.html,Bus Tours,4 hours,"Explore Singapore’s Chinatown district from every perspective on this enjoyable 4-hour evening trishaw, riverboat and walking…",Taking safety measures,from,$90.11,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By GlobalTix Pte Ltd,,https://www.tripadvisor.com/AttractionProductReview-g294265-d23698730-Crafune_Leather_Crafting-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/f9/a8/08/caption.jpg?w=500&h=400&s=1,Crafune Leather Crafting,29.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Art Classes,3 hours,"In this workshop, you will learn the basic knowledge of leather, types of basic leather crafting tools, scoring, cutting…",Taking safety measures,from,$35.21,per adult,More info,,,
1,,By GlobalTix Pte Ltd,https://www.tripadvisor.com/AttractionProductReview-g294265-d15236967-Asian_Civilisations_Museum_Admission_Ticket-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d15236967-Asian_Civilisations_Museum_Admission_Ticket-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/88/6e/28/caption.jpg?w=500&h=400&s=1,Asian Civilisations Museum Admission Ticket,30.,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html,Attractions & Museums,1–2 hours,"The Asian Civilisations Museum (ACM) is home to the rich artistic heritage of Asia, particularly the ancestral cultures …",Taking safety measures,from,$4.40,per adult,More info,,,
1,,,,,,,,,2,,,,,,,,,,
Frequently Asked Questions about Singapore,,,,,,,,,Which experiences are best for tours in Singapore?,What are the best places for tours in Singapore?,,,,Which places provide the best tours in Singapore for kids and families?,,Which places provide the best tours in Singapore for couples?,Which places provide the best tours in Singapore for groups?,Which places provide the best tours in Singapore for travelers on a budget?,
2,,,,,,,,,1,3,,,,,,,,,
617 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=bk1WXy9BdHRyYWN0aW9ucy1nMjk0MjY1LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLVNpbmdhcG9yZS5odG1sX3Rsbg%3D%3D,,,,,,,,,,,,,,,,
1,,By MST Transport,https://www.tripadvisor.com/AttractionProductReview-g294265-d18976583-17_or_19_Hrs_Kuala_Lumpur_Exclusive_Escorted_Car_Tour_from_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d18976583-17_or_19_Hrs_Kuala_Lumpur_Exclusive_Escorted_Car_Tour_from_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/66/22/b9/caption.jpg?w=500&h=400&s=1,17 or 19 Hrs Kuala Lumpur Exclusive Escorted Car Tour from Singapore,61.,https://www.tripadvisor.com/Attraction_Review-g294265-d15097666-Reviews-MST_Transport-Singapore.html,Full-day Tours,6+ hours,The most flexible Singapore to Kuala Lumpur full day private tour. Commute to dispersed attractions and respite in the air…,,from,$548.38,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,By Palate Sensations Cooking School Day Classes,https://www.tripadvisor.com/AttractionProductReview-g294265-d11473565-Private_Singapore_Cooking_Experience_with_Optional_Market_Visit-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11473565-Private_Singapore_Cooking_Experience_with_Optional_Market_Visit-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/07/20/caption.jpg?w=500&h=400&s=1,Private Singapore Cooking Experience with Optional Market Visit,62.,https://www.tripadvisor.com/Attraction_Review-g294265-d2023184-Reviews-Palate_Sensations_Cooking_School_Day_Classes-Singapore.html,Cooking Classes,4–5 hours,Discover Singapore's rich cultural history through its cuisine. You'll get an authentic and intimate look at the Singaporean…,Taking safety measures,from,$119.69,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,By MST Transport,https://www.tripadvisor.com/AttractionProductReview-g294265-d17371590-17_or_19_Hrs_Kuala_Lumpur_Flexible_Day_Night_Car_Tour_from_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d17371590-17_or_19_Hrs_Kuala_Lumpur_Flexible_Day_Night_Car_Tour_from_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/68/00/caption.jpg?w=500&h=400&s=1,17 or 19 Hrs Kuala Lumpur Flexible Day & Night Car Tour from Singapore,63.,https://www.tripadvisor.com/Attraction_Review-g294265-d15097666-Reviews-MST_Transport-Singapore.html,Full-day Tours,6+ hours,The most flexible Singapore to Kuala Lumpur full day private tour. Commute to dispersed attractions and respite in the air…,,from,"$1,096.75",per group,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
