WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,WlYyy 4,WlYyy 5,ySnDE,ccVGl,WlYyy 7,ccVGl 2,WlYyy 8
55,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Japan Wonder Travel,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11473279-Tsukiji_Fish_Market_Visit_with_Sushi_Making_Experience-Tsukiji_Chuo_Tokyo_Tokyo_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11473279-Tsukiji_Fish_Market_Visit_with_Sushi_Making_Experience-Tsukiji_Chuo_Tokyo_Tokyo_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/df/fa/caption.jpg?w=500&h=400&s=1,Tsukiji Fish Market Visit with Sushi Making Experience,12.,https://www.tripadvisor.com/Attraction_Review-g14129610-d9555505-Reviews-Japan_Wonder_Travel-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,Private and Luxury,4 hours,Taking safety measures,,"Sushi is one of the most popular Japanese food for foreigners. It's easy to eat, but it can be difficult to make. During…",from,$137.00,per adult,More info
4,,By Tokyo Memories,https://www.tripadvisor.com/AttractionProductReview-g1066457-d16702976-Private_tour_Tokyo_s_Oldest_Sake_Brewery_and_riverside_walk-Shinjuku_Tokyo_Tokyo_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066457-d16702976-Private_tour_Tokyo_s_Oldest_Sake_Brewery_and_riverside_walk-Shinjuku_Tokyo_Tokyo_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f3/e1/caption.jpg?w=500&h=400&s=1,Private tour: Tokyo's Oldest Sake Brewery and riverside walk.,13.,https://www.tripadvisor.com/Attraction_Review-g1066455-d16660680-Reviews-Tokyo_Memories-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html,Rail Tours,6+ hours,Free cancellation,,Escape the hustle and bustle of the big city on this day trip to Tokyo's oldest brewery and enjoy a relaxing day of sake…,from,$212.95,per adult,More info
5,,By City Unscripted Tokyo,https://www.tripadvisor.com/AttractionProductReview-g14129528-d15040326-Tokyo_Otaku_Tour_with_a_Local_100_Personalized_Private-Marunouchi_Chiyoda_Tokyo_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129528-d15040326-Tokyo_Otaku_Tour_with_a_Local_100_Personalized_Private-Marunouchi_Chiyoda_Tokyo_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/92/28/f6/caption.jpg?w=500&h=400&s=1,Tokyo Otaku Tour with a Local: 100% Personalized & Private,14.,https://www.tripadvisor.com/Attraction_Review-g298184-d15223450-Reviews-City_Unscripted_Tokyo-Tokyo_Tokyo_Prefecture_Kanto.html,City Tours,4 hours,Taking safety measures,Free cancellation,"Otaku (also known as “geek culture”) is a phrase used to describe an avid fan of anime, manga and cosplay - gaming, electronics…",from,$232.56,per adult,More info
7,,By Musashi Ninja Clan Shinobi-Samurai Honjin Dojo,https://www.tripadvisor.com/AttractionProductReview-g1066451-d11456020-Private_90_Min_Elite_Ninja_or_Samurai_Experience_Stealth_Walk_Shuriken_Sword-Mina.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066451-d11456020-Private_90_Min_Elite_Ninja_or_Samurai_Experience_Stealth_Walk_Shuriken_Sword-Mina.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e7/de/caption.jpg?w=500&h=400&s=1,"Private 90-Min. Elite Ninja or Samurai Experience: Stealth Walk, Shuriken, Sword",15.,https://www.tripadvisor.com/Attraction_Review-g14129730-d12831221-Reviews-Musashi_Ninja_Clan_Shinobi_Samurai_Honjin_Dojo-Shibakoen_Minato_Tokyo_Tokyo_Pr.html,Sports Lessons,1–2 hours,Free cancellation,,"Learn the history of traditional swordsmanship with roots that can be traced back more than 420 years. 

Licensed interpreter…",from,$142.12,per adult,More info
114,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Tokyo Urban Adventures,https://www.tripadvisor.com/AttractionProductReview-g1066443-d11451166-Tokyo_by_Night_Japanese_Food_Small_Group_or_Private_Tour-Chiyoda_Tokyo_Tokyo_Pref.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066443-d11451166-Tokyo_by_Night_Japanese_Food_Small_Group_or_Private_Tour-Chiyoda_Tokyo_Tokyo_Pref.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/fd/fe/7e/caption.jpg?w=500&h=400&s=1,Tokyo by Night: Japanese Food Small Group or Private Tour,16.,https://www.tripadvisor.com/Attraction_Review-g298184-d3876312-Reviews-Tokyo_Urban_Adventures-Tokyo_Tokyo_Prefecture_Kanto.html,Night Tours,3 hours,Taking safety measures,Free cancellation,Savor some amazing Japanese dishes while experiencing local nightlife on this food tour in Tokyo. Delve into the city’s …,from,$130.75,per adult,More info
15,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Tokyo Gay Night Tours with Tokyo Handsome Boys,https://www.tripadvisor.com/AttractionProductReview-g1066457-d15090018-Tokyo_Gay_Night_Tour-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066457-d15090018-Tokyo_Gay_Night_Tour-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/d6/3b/caption.jpg?w=500&h=400&s=1,Tokyo Gay Night Tour,17.,https://www.tripadvisor.com/Attraction_Review-g1066457-d13134459-Reviews-Tokyo_Gay_Night_Tours_with_Tokyo_Handsome_Boys-Shinjuku_Tokyo_Tokyo_Prefecture_.html,Nightlife,3 hours,Free cancellation,,"On this tour, we'll show you the lifestyle of real Japanese gay guys, and you'll see the nightlife through the eyes of the…",from,$125.84,per adult,More info
2,,By Traveling Spoon,https://www.tripadvisor.com/AttractionProductReview-g1066457-d14061598-Enjoy_a_Japanese_Cooking_Class_with_a_Humorous_Local_Satoru_in_his_Tokyo_Home-Shi.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066457-d14061598-Enjoy_a_Japanese_Cooking_Class_with_a_Humorous_Local_Satoru_in_his_Tokyo_Home-Shi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e8/4c/caption.jpg?w=500&h=400&s=1,Enjoy a Japanese Cooking Class with a Humorous Local Satoru in his Tokyo Home,18.,https://www.tripadvisor.com/Attraction_Review-g1066453-d12347336-Reviews-Traveling_Spoon-Nerima_Tokyo_Tokyo_Prefecture_Kanto.html,Cooking Classes,2–3 hours,Taking safety measures,,Join your local host Satoru in his kitchen and learn how to cook 2-3 homestyle Japanese dishes from scratch. You can expect…,from,$128.00,per adult,More info
,,By Curioseety Kyoto,,https://www.tripadvisor.com/AttractionProductReview-g1066457-d13151641-Traditional_Home_Cooking_Class_in_Tokyo_with_Chef_Sato-Shinjuku_Tokyo_Tokyo_Prefe.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/d4/f2/caption.jpg?w=500&h=400&s=1,Traditional Home Cooking Class in Tokyo with Chef Sato,19.,https://www.tripadvisor.com/Attraction_Review-g298564-d20344194-Reviews-Curioseety_Kyoto-Kyoto_Kyoto_Prefecture_Kinki.html,Cooking Classes,2–3 hours,Taking safety measures,Free cancellation,Discover authentic Japanese recipes with chef Sato at his apartment in Tokyo. Learn to prepare local delicacies and immerse…,from,$100.69,per adult,More info
,,,,https://www.tripadvisor.com/AttractionProductReview-g1066451-d15709628-Japanese_Pottery_Class_in_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/d3/bc/caption.jpg?w=500&h=400&s=1,Japanese Pottery Class in Tokyo,20.,,Pottery Classes,1 hour,Taking safety measures,Free cancellation,Try Japanese deep culture with pottery classes at Tokyo in English.Uzumako Ceramic art school is located just around 6 minutes…,from,$35.95,per adult,More info
2,,By Tokyo Skytree,https://www.tripadvisor.com/AttractionProductReview-g14134337-d23429795-Tokyo_Skytree_Admission_Ticket_Floor_350_450-Oshiage_Sumida_Tokyo_Tokyo_Prefectu.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14134337-d23429795-Tokyo_Skytree_Admission_Ticket_Floor_350_450-Oshiage_Sumida_Tokyo_Tokyo_Prefectu.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/92/c4/d3/caption.jpg?w=500&h=400&s=1,Tokyo Skytree Admission Ticket (Floor 350 + 450),21.,https://www.tripadvisor.com/Attraction_Review-g14134337-d1872416-Reviews-Tokyo_Skytree-Oshiage_Sumida_Tokyo_Tokyo_Prefecture_Kanto.html,Skyscrapers & Towers,1–2 hours,Taking safety measures,,"Rising 350 meters above the ground, the ""TOKYO SKYTREE TEMBO DECK (350 m)"" is covered in huge 5-meter-high glass for a 360…",from,$17.43,per adult,More info
40,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Tokyo Urban Adventures,https://www.tripadvisor.com/AttractionProductReview-g14133707-d12923621-Tokyo_Shinjuku_Drinks_and_Neon_Nights_Three_Hour_Small_Group_or_Private_Tour-Shi.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14133707-d12923621-Tokyo_Shinjuku_Drinks_and_Neon_Nights_Three_Hour_Small_Group_or_Private_Tour-Shi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f4/95/caption.jpg?w=500&h=400&s=1,Tokyo: Shinjuku Drinks and Neon Nights Three-Hour Small-Group or Private Tour,22.,https://www.tripadvisor.com/Attraction_Review-g298184-d3876312-Reviews-Tokyo_Urban_Adventures-Tokyo_Tokyo_Prefecture_Kanto.html,Night Tours,150–180 minutes,Taking safety measures,Free cancellation,"With over 100,000 restaurants and bars to choose from, picking where to eat and drink in Tokyo is a deliciously overwhelming…",from,$102.15,per adult,More info
325,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Tokyo Pub Crawl,https://www.tripadvisor.com/AttractionProductReview-g14129735-d11990259-Tokyo_Pub_Crawl-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129735-d11990259-Tokyo_Pub_Crawl-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e8/5f/caption.jpg?w=500&h=400&s=1,Tokyo Pub Crawl,23.,https://www.tripadvisor.com/Attraction_Review-g1066451-d6417143-Reviews-Tokyo_Pub_Crawl-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,City Tours,4–5 hours,Free cancellation,,"2018 Travelers Choice Winner!

Join Tokyo's largest and longest running nightlife tour for an evening you won't forget! …",from,$22.78,per adult,More info
1,,By MAM Holidays Japan,https://www.tripadvisor.com/AttractionProductReview-g14129528-d21103053-Tokyo_Hop_on_Hop_off_Bus-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129528-d21103053-Tokyo_Hop_on_Hop_off_Bus-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/86/92/38/caption.jpg?w=500&h=400&s=1,Tokyo Hop-on & Hop-off Bus,24.,https://www.tripadvisor.com/Attraction_Review-g1066457-d15311531-Reviews-MAM_Holidays_Japan-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Bus Tours,1–2 hours,,,Explore the most famous and popular landmarks in Tokyo with a same day pass on an open top double decker bus that can be…,from,$30.52,per adult,More info
14,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Madame Tussauds Tokyo,https://www.tripadvisor.com/AttractionProductReview-g14134368-d12901966-1100_1600_Madame_Tussauds_Tokyo-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14134368-d12901966-1100_1600_Madame_Tussauds_Tokyo-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/19/76/caption.jpg?w=500&h=400&s=1,[1100~1600] Madame Tussauds Tokyo,25.,https://www.tripadvisor.com/Attraction_Review-g14134368-d4006159-Reviews-Madame_Tussauds_Tokyo-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html,Attractions & Museums,30–90 minutes,,,"Just like the real person!

Enjoy a large selection of life-sized waxworks of famous celebrities at Madame Tussauds Tokyo…",from,$16.70,per adult,More info
,,By Musashi Ninja Clan Shinobi-Samurai Honjin Dojo,,https://www.tripadvisor.com/AttractionProductReview-g14129730-d20940900-Online_Ninja_Experience_with_a_Kunoichi_50_min-Shibakoen_Minato_Tokyo_Tokyo_Pref.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/59/26/2f/caption.jpg?w=500&h=400&s=1,"Online Ninja Experience with a Kunoichi, 50 min",26.,https://www.tripadvisor.com/Attraction_Review-g14129730-d12831221-Reviews-Musashi_Ninja_Clan_Shinobi_Samurai_Honjin_Dojo-Shibakoen_Minato_Tokyo_Tokyo_Pr.html,Walking Tours,50 minutes,Free cancellation,,"We use zoom to give an Online Ninja Clan Dojo visit with a licensed interpreter-trainer. 

The Musashi Ninja Clan is the…",from,$17.77,per adult,More info
223,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Japan Wonder Travel,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11481567-Tsukiji_Fish_Market_Food_and_Culture_Walking_Tour-Tsukiji_Chuo_Tokyo_Tokyo_Prefe.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11481567-Tsukiji_Fish_Market_Food_and_Culture_Walking_Tour-Tsukiji_Chuo_Tokyo_Tokyo_Prefe.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/ea/03/caption.jpg?w=500&h=400&s=1,Tsukiji Fish Market Food and Culture Walking Tour,27.,https://www.tripadvisor.com/Attraction_Review-g14129610-d9555505-Reviews-Japan_Wonder_Travel-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,Private and Luxury,3 hours,Taking safety measures,Free cancellation,"Let’s explore Tsukiji, the vibrant market for the locals and the professional chefs for more than 80 years of history, to…",from,$100.10,per adult,More info
,,By H.I.S. Tourist Information Center Harajuku,,https://www.tripadvisor.com/AttractionProductReview-g14133667-d23716728-Shared_4_Hour_Thermae_Yu_Hot_Spring_in_Shinjuku-Kabukicho_Shinjuku_Tokyo_Tokyo_P.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/fd/3d/b2/caption.jpg?w=500&h=400&s=1,Shared 4 Hour Thermae-Yu Hot Spring in Shinjuku,28.,https://www.tripadvisor.com/Attraction_Review-g1066456-d8614702-Reviews-H_I_S_Tourist_Information_Center_Harajuku-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,,4 hours,Taking safety measures,Free cancellation,"Relax in one of the famous Onsen, Japanese Hot Springs in Kabukicho, the heart of Tokyo. Thermae-Yu features hot spring …",from,$19.92,per adult,More info
12,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Japan Awaits,https://www.tripadvisor.com/AttractionProductReview-g1066459-d11475664-Authentic_Geisha_Performance_and_Entertainment_including_a_Kaiseki_Course_Dinner-.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066459-d11475664-Authentic_Geisha_Performance_and_Entertainment_including_a_Kaiseki_Course_Dinner-.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e6/52/caption.jpg?w=500&h=400&s=1,Authentic Geisha Performance and Entertainment including a Kaiseki Course Dinner,29.,https://www.tripadvisor.com/Attraction_Review-g298184-d8567936-Reviews-Japan_Awaits-Tokyo_Tokyo_Prefecture_Kanto.html,Shows,2–3 hours,Taking safety measures,,"Experience an authentic geisha performance and entertainment with multi-course kaiseki dinner, including an English host…",from,$269.29,per adult,More info
