WlYyy,cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,iPqaD href 3,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,dXxty
249,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Friedrichstadt-Palast,https://www.tripadvisor.com/AttractionProductReview-g187323-d23553989-ARISE_Grand_Show_at_Friedrichstadt_Palast_in_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/19/e7/57/caption.jpg?w=500&h=400&s=1,ARISE Grand Show at Friedrichstadt-Palast in Berlin,10.,https://www.tripadvisor.com/AttractionProductReview-g187323-d23553989-ARISE_Grand_Show_at_Friedrichstadt_Palast_in_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d190603-Reviews-Friedrichstadt_Palast-Berlin.html,Theaters,2–3 hours,"ARISE Grand Show in Friedrichstadt-Palast

Love is stronger than time ARISE kindles a storm of emotions that will also seize…",Free cancellation,92% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$62.11,per adult,More info,
16,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Essence of Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d13505023-All_in_One_Berlin_Shore_Excursion_from_Warnemunde_and_Rostock_Port-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/06/da/caption.jpg?w=500&h=400&s=1,All-in-One Berlin Shore Excursion from Warnemünde and Rostock Port,11.,https://www.tripadvisor.com/AttractionProductReview-g187323-d13505023-All_in_One_Berlin_Shore_Excursion_from_Warnemunde_and_Rostock_Port-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d15798995-Reviews-Essence_of_Berlin-Berlin.html,Bus Tours,6+ hours,"This shore excursion is our flagship experience, and is designed to show you the very best of Berlin in the time that you…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$118.79,per adult,More info,
115,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486876-The_History_of_Berlin_WWII_Private_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/98/ae/caption.jpg?w=500&h=400&s=1,The History of Berlin: WWII Private Tour,12.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486876-The_History_of_Berlin_WWII_Private_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d10507977-Reviews-Withlocals-Berlin.html,City Tours,4 hours,"It’s the history that made the city today. During this private tour, it’s time to discover Berlin through WWII Private Tour…",Free cancellation,97% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$75.80,per adult,More info,
7,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g187323-d20281477-The_10_Tastings_of_Berlin_With_Locals_Kreuzberg_Private_Food_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/25/93/fa/caption.jpg?w=500&h=400&s=1,The 10 Tastings of Berlin With Locals: Kreuzberg Private Food Tour,13.,https://www.tripadvisor.com/AttractionProductReview-g187323-d20281477-The_10_Tastings_of_Berlin_With_Locals_Kreuzberg_Private_Food_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d10507977-Reviews-Withlocals-Berlin.html,Walking Tours,3 hours,Eat your way through Berlin and taste the best of Kreuzberg on a private food tour. Go on a delicious journey as you try…,Free cancellation,,,from,$112.00,per adult,More info,Taking safety measures
54,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486874-Withlocals_Private_Urban_Jungle_The_Alternative_Side_of_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5d/47/caption.jpg?w=500&h=400&s=1,Withlocals Private Urban Jungle: The Alternative Side of Berlin,14.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486874-Withlocals_Private_Urban_Jungle_The_Alternative_Side_of_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d10507977-Reviews-Withlocals-Berlin.html,City Tours,2–3 hours,Please be aware that this tour is adapted to the local regulations post Covid-19. Our hosts will deliver this experience…,Free cancellation,96% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$59.96,per adult,More info,
241,,By Trabi-Safari - TrabiWorld Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d11483463-Berlin_Self_Drive_Trabi_Tour_with_Guide-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/73/61/10/caption.jpg?w=500&h=400&s=1,Berlin Self-Drive Trabi Tour with Guide,15.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11483463-Berlin_Self_Drive_Trabi_Tour_with_Guide-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1546493-Reviews-Trabi_Safari_TrabiWorld_Berlin-Berlin.html,Bus Tours,1–2 hours,"Enjoy a 75-minute self-drive tour through Berlin in a retro-style Trabant. Following a guide, squeeze yourself behind the…",,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$59.94,per adult,More info,Taking safety measures
307,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Insider Tour,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452020-Cold_War_Walking_Tour_of_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cc/ca/55/caption.jpg?w=500&h=400&s=1,Cold War Walking Tour of Berlin,16.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452020-Cold_War_Walking_Tour_of_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d629667-Reviews-Insider_Tour-Berlin.html,Rail Tours,3 hours,This guided Berlin walking tour will show you the staging ground of the military conflict between the Western world and …,Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$21.50,per adult,More info,
103,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Trabi-XXL Trabant Limousines,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462316-Private_Tour_Berlin_by_Trabant_Stretch_Limousine-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9f/ca/ad/caption.jpg?w=500&h=400&s=1,Private Tour: Berlin by Trabant Stretch-Limousine,17.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462316-Private_Tour_Berlin_by_Trabant_Stretch_Limousine-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d3600215-Reviews-Trabi_XXL_Trabant_Limousines-Berlin.html,Bus Tours,3 hours,"See the sights of 

Berlin by 

Trabant stretch-limousine! With more room and a little more luxury than the standard Trabant…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$243.40,per group,More info,
5,,By SIXX PAXX Theater & Ladiesclub,https://www.tripadvisor.com/AttractionProductReview-g187323-d21163157-SIXX_PAXX_Theater_Berlin_Show-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/37/91/a5/caption.jpg?w=500&h=400&s=1,SIXX PAXX Theater Berlin Show,18.,https://www.tripadvisor.com/AttractionProductReview-g187323-d21163157-SIXX_PAXX_Theater_Berlin_Show-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d20943615-Reviews-SIXX_PAXX_Theater_Ladiesclub-Berlin.html,Theaters,120–180 minutes,"The hottest male revue show in Europe has a new address, and we have finally reopened the doors for you! That’s right, we…",,,,from,$79.08,per adult,More info,Taking safety measures
23,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Sidetrip: Berlin to Prague One-Way Tour,https://www.tripadvisor.com/AttractionProductReview-g187323-d16796066-Berlin_Prague_One_Way_Sightseeing_Day_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/a1/3a/caption.jpg?w=500&h=400&s=1,Berlin-Prague One-Way Sightseeing Day Tour,19.,https://www.tripadvisor.com/AttractionProductReview-g187323-d16796066-Berlin_Prague_One_Way_Sightseeing_Day_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d16770258-Reviews-Sidetrip_Berlin_to_Prague_One_Way_Tour-Berlin.html,Full-day Tours,6+ hours,"Visit Dresden Old Town, Elbe sandstone rocks, Moritzburg Palace and Litomerice on your way from Prague to Berlin.

Join …",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$298.68,per adult,More info,
44,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By 2 Wheel Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462863-2_Hour_Berlin_Small_Group_Segway_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/32/d4/caption.jpg?w=500&h=400&s=1,2 Hour Berlin Small Group Segway Tour,20.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462863-2_Hour_Berlin_Small_Group_Segway_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d7185851-Reviews-2_Wheel_Tours-Berlin.html,Segway Tours,2 hours,Take this 2 hour guided Segway tour through Berlin and enjoy a ride . Cruise the most scenic landmarks of Berlin's historic…,Free cancellation,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$56.56,per adult,More info,
18,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By 2 Wheel Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462862-Berlin_City_Tour_on_Segway-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/5f/0b/caption.jpg?w=500&h=400&s=1,Berlin City Tour on Segway,21.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11462862-Berlin_City_Tour_on_Segway-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d7185851-Reviews-2_Wheel_Tours-Berlin.html,Segway Tours,1–2 hours,"Join this 60, 90 or 120 minute small group city tour and explore Berlin conveniently on a Segway. Your guide will take you…",Free cancellation,94% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$39.60,per adult,More info,
28,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Leo Rikscha,https://www.tripadvisor.com/AttractionProductReview-g187323-d17773845-Rickshaw_Sightseeing_City_Tours_Berlin_Rikscha_Tours-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/1b/c7/8f/caption.jpg?w=500&h=400&s=1,Rickshaw Sightseeing City Tours Berlin - Rikscha Tours,22.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17773845-Rickshaw_Sightseeing_City_Tours_Berlin_Rikscha_Tours-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17731855-Reviews-Leo_Rikscha-Berlin.html,E-Bike Tours,1–4 hours,"❤Sights of the capital can be reached quickly and easily and get to know Berlin better in a relaxed atmosphere.

❤Where …",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$87.11,per group,More info,
8,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By A Friend in Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d11481087-Private_Custom_3_Hour_Tour_of_Berlin_by_Car-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f4/1c/92/caption.jpg?w=500&h=400&s=1,Private Custom 3-Hour Tour of Berlin by Car,23.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11481087-Private_Custom_3_Hour_Tour_of_Berlin_by_Car-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d7033574-Reviews-A_Friend_in_Berlin-Berlin.html,Bus Tours,3 hours,Enjoy a 3-hour city tour of Berlin with a private driver/guide who will pick you up from your hotel. See all the major highlights…,Free cancellation,,,from,$441.23,per group,More info,Taking safety measures
52,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Madame Tussauds Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d12033115-Madame_Tussauds_Berlin_Admission_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/da/2f/6e/caption.jpg?w=500&h=400&s=1,Madame Tussauds Berlin Admission Ticket,24.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12033115-Madame_Tussauds_Berlin_Admission_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1828806-Reviews-Madame_Tussauds_Berlin-Berlin.html,Attractions & Museums,1–2 hours,"Enjoy a visit to Madame Tussauds in Berlin with your admission ticket. Totally interactive Sets, amazing costumes, exciting…",Free cancellation,,,from,$27.15,per adult,More info,Taking safety measures
64,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Alternative Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d14011130-Street_Art_Tour_Off_The_Grid-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/af/7a/7e/caption.jpg?w=500&h=400&s=1,Street Art Tour - Off The Grid,25.,https://www.tripadvisor.com/AttractionProductReview-g187323-d14011130-Street_Art_Tour_Off_The_Grid-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1747921-Reviews-Alternative_Berlin_Tours-Berlin.html,Public Transportation Tours,3 hours,"Artists tell you the secrets, the history, the techniques, the rules and the personal stories of graffiti and street art…",Free cancellation,96% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$20.36,per adult,More info,
"1,807",Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By SANDEMANs NEW Europe - Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d12491658-Sachsenhausen_Oranienburg_Memorial_Tour_From_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/df/f5/caption.jpg?w=500&h=400&s=1,Sachsenhausen-Oranienburg Memorial Tour From Berlin,26.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12491658-Sachsenhausen_Oranienburg_Memorial_Tour_From_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1025949-Reviews-SANDEMANs_NEW_Europe_Berlin-Berlin.html,Rail Tours,5–6 hours,"Head out of Berlin to explore the tragic side of the city's history at the Sachsenhausen Memorial, a former Nazi concentration…",Free cancellation,98% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$24.89,per adult,More info,
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Europe Journey - Private Sightseeing Door-to-Door Transfers - Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d17401869-Private_Transfer_from_Berlin_to_Prague_with_2_Sightseeing_Stops-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e8/44/b4/caption.jpg?w=500&h=400&s=1,Private Transfer from Berlin to Prague with 2 Sightseeing Stops,27.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17401869-Private_Transfer_from_Berlin_to_Prague_with_2_Sightseeing_Stops-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d20029948-Reviews-Europe_Journey_Private_Sightseeing_Door_to_Door_Transfers_Berlin-Berlin.html,,6 hours,Enjoy a hassle-free arrival in Prague with our private transfer service. Meet your driver wherever you wish in Berlin and…,Free cancellation,,,from,$199.98,per adult,More info,Taking safety measures
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By 2 Wheel Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d17746645-Best_of_Berlin_Segway_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/23/12/caption.jpg?w=500&h=400&s=1,Best of Berlin Segway Tour,28.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17746645-Best_of_Berlin_Segway_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d7185851-Reviews-2_Wheel_Tours-Berlin.html,Segway Tours,60–150 minutes,Explore Berlin by Segway and spin to top attractions in style . Hop on your Segway and following a little practise head …,Free cancellation,,,from,$39.60,per adult,More info,Taking safety measures
28,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Gablinger Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d17555090-Private_Berlin_City_Center_Walking_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/75/cd/c0/caption.jpg?w=500&h=400&s=1,Private Berlin City Center Walking Tour,29.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17555090-Private_Berlin_City_Center_Walking_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d2036910-Reviews-Gablinger_Berlin_Tours-Berlin.html,Walking Tours,4 hours,On this private walking tour you will have the opportunity to see Berlin's most famous sites along with an expert guide …,Free cancellation,96% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$363.88,per group,More info,
28,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By I love berlin bike tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d12495209-Small_Group_Historical_Bike_Tour_in_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bf/db/15/caption.jpg?w=500&h=400&s=1,Small-Group Historical Bike Tour in Berlin,30.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12495209-Small_Group_Historical_Bike_Tour_in_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d11669212-Reviews-I_love_berlin_bike_tours-Berlin.html,Bike Tours,3–4 hours,"Be prepared to experience this unique all-in-one, bike tour. Spending about 3.5-hours exploring Berlin's history, and the…",Free cancellation,92% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$36.70,per adult,More info,
1,,,,,,,,,2,,,,,,,,,,
Frequently Asked Questions about Berlin,,,,,,,,,Which experiences are best for tours in Berlin?,What are the best places for tours in Berlin?,,Which places provide the best tours in Berlin for kids and families?,Which places provide the best tours in Berlin for couples?,,,Which places provide the best tours in Berlin for groups?,,Which places provide the best tours in Berlin for travelers on a budget?,
2,,,,,,,,,1,3,,,,,,,,,
