WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 2,iPqaD href 2,WlYyy 3,WlYyy 4,ySnDE,dXxty,WlYyy 5,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,WlYyy 8,cctrW 2
BEST SELLER,Free Cancellation up to 3 days in advance,By Original Food Tours Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d13232261-Montmartre_Hill_Sweet_Savory_French_Gourmet_Food_Wine_Tasting_Tour-Paris_Ile_de_Fr.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d13232261-Montmartre_Hill_Sweet_Savory_French_Gourmet_Food_Wine_Tasting_Tour-Paris_Ile_de_Fr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9d/a5/cd/caption.jpg?w=500&h=400&s=1,Montmartre Hill Sweet & Savory French Gourmet Food & Wine Tasting Tour,10.,267,https://www.tripadvisor.com/Attraction_Review-g187147-d9465625-Reviews-Original_Food_Tours_Paris-Paris_Ile_de_France.html,Wine Tours,180–210 minutes,Is there anywhere in Paris a more emblematic and picturesque quarter than Montmartre ? How is it possible to concentrate…,,Free cancellation,from,$103.49,per adult,More info,96% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bateaux Mouches,https://www.tripadvisor.com/AttractionProductReview-g187147-d11469157-Bateaux_Mouches_Seine_River_Paris_by_Night_Dinner_Cruise_with_Live_Music-Paris_Ile.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11469157-Bateaux_Mouches_Seine_River_Paris_by_Night_Dinner_Cruise_with_Live_Music-Paris_Ile.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/4c/54/caption.jpg?w=500&h=400&s=1,Bateaux Mouches Seine River Paris by Night Dinner Cruise with Live Music,11.,317,https://www.tripadvisor.com/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html,Day Cruises,3 hours,"See Paris from the water on a 3-hour Seine River cruise on the iconic Bateaux-Mouches, which includes dinner. You'll admire…",,Free cancellation,from,$113.83,per adult,More info,,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By City Wonders,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449817-Versailles_Palace_Gardens_Guided_Tour_from_Paris_with_Optional_Fountain_Show-Paris.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449817-Versailles_Palace_Gardens_Guided_Tour_from_Paris_with_Optional_Fountain_Show-Paris.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ef/02/caption.jpg?w=500&h=400&s=1,Versailles Palace & Gardens Guided Tour from Paris with Optional Fountain Show,12.,114,https://www.tripadvisor.com/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html,Bus Tours,4 hours,"There’s only one way to visit the extravagant Palace of Versailles: in style. All tours, access and roundtrip coach transfers…",Taking safety measures,Free cancellation,from,$72.41,per adult,More info,,
LIKELY TO SELL OUT*,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By City Wonders,https://www.tripadvisor.com/AttractionProductReview-g187147-d12939613-Mont_Saint_Michel_Full_Day_Experience_from_Paris_by_Private_Coach-Paris_Ile_de_Fra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d12939613-Mont_Saint_Michel_Full_Day_Experience_from_Paris_by_Private_Coach-Paris_Ile_de_Fra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/0b/69/caption.jpg?w=500&h=400&s=1,Mont Saint Michel Full Day Experience from Paris by Private Coach,13.,43,https://www.tripadvisor.com/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html,Bus Tours,6+ hours,Head to the coast of Normandy to visit the picturesque island of Mont-Saint-Michel on this day tour from Paris. You'll receive…,,Free cancellation,from,$157.26,per adult,More info,90% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bateaux Parisiens,https://www.tripadvisor.com/AttractionProductReview-g187147-d19253390-Bistro_Parisien_3_Course_Dinner_and_Seine_River_Sightseeing_Cruise-Paris_Ile_de_Fr.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d19253390-Bistro_Parisien_3_Course_Dinner_and_Seine_River_Sightseeing_Cruise-Paris_Ile_de_Fr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/77/c1/58/caption.jpg?w=500&h=400&s=1,Bistro Parisien 3-Course-Dinner and Seine River Sightseeing Cruise,14.,31,https://www.tripadvisor.com/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Dinner Cruises,3 hours,"Le Bistro Parisien welcomes you for dinner between 18:00 and 22:00. Come and visit this contemporary, see-through bistro…",Taking safety measures,Free cancellation,from,$54.31,per adult,More info,,
LIKELY TO SELL OUT*,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By History Bus,https://www.tripadvisor.com/AttractionProductReview-g187147-d11472816-Skip_the_Line_Eiffel_Tower_2nd_Floor_Priority_Access_Ticket_with_Host-Paris_Ile_de.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11472816-Skip_the_Line_Eiffel_Tower_2nd_Floor_Priority_Access_Ticket_with_Host-Paris_Ile_de.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/dd/caption.jpg?w=500&h=400&s=1,Skip the Line: Eiffel Tower 2nd Floor Priority Access Ticket with Host,15.,405,https://www.tripadvisor.com/Attraction_Review-g187147-d7305669-Reviews-History_Bus-Paris_Ile_de_France.html,Walking Tours,1 hour,Save your precious Paris sightseeing time with this skip-the-line Eiffel Tower ticket. One of only a few priority admission…,Taking safety measures,Free cancellation,from,$48.65,per adult,More info,,
LIKELY TO SELL OUT*,,By Paris City Tours,https://www.tripadvisor.com/AttractionProductReview-g187147-d19758755-Eiffel_Tower_Skip_the_Line_Ticket_with_Summit_Access_by_Elevator-Paris_Ile_de_Fran.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d19758755-Eiffel_Tower_Skip_the_Line_Ticket_with_Summit_Access_by_Elevator-Paris_Ile_de_Fran.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/19/5c/caption.jpg?w=500&h=400&s=1,Eiffel Tower Skip the Line Ticket with Summit Access by Elevator,16.,7,https://www.tripadvisor.com/Attraction_Review-g226861-d13554052-Reviews-Paris_City_Tours-Rueil_Malmaison_Hauts_de_Seine_Ile_de_France.html,Monuments and Memorials,2 hours,"Meet with our friendly host at our meeting point and let assist you to the enter to the tower.

Then ; avoid any hassle …",Taking safety measures,,from,$62.11,per adult,More info,,
LIKELY TO SELL OUT*,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By City Wonders,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449775-Loire_Valley_Chambord_Chenonceau_Castles_Day_Trip_with_Wine_Tasting_from_Paris-Par.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449775-Loire_Valley_Chambord_Chenonceau_Castles_Day_Trip_with_Wine_Tasting_from_Paris-Par.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/93/dc/caption.jpg?w=500&h=400&s=1,Loire Valley Chambord & Chenonceau Castles Day Trip with Wine Tasting from Paris,17.,191,https://www.tripadvisor.com/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html,Bus Tours,6+ hours,"Step out of Paris and into a fairytale, travelling in air-conditioned comfort to the beautiful Loire Valley. Live like French…",,Free cancellation,from,$168.57,per adult,More info,90% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Walks,https://www.tripadvisor.com/AttractionProductReview-g187147-d12367022-Skip_the_Line_Paris_Catacombs_Special_Access_Tour-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d12367022-Skip_the_Line_Paris_Catacombs_Special_Access_Tour-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f5/14/caption.jpg?w=500&h=400&s=1,Skip-the-Line Paris Catacombs Special Access Tour,18.,156,https://www.tripadvisor.com/Attraction_Review-g187147-d12251698-Reviews-Walks-Paris_Ile_de_France.html,Walking Tours,2 hours,"Below the streets of Paris lurks an entire secret history of the city’s dead. On this unique storytelling tour, you’ll visit…",,Free cancellation,from,$95.03,per adult,More info,96% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
LIKELY TO SELL OUT*,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Blue Fox Travel - Blue Bike Tours,https://www.tripadvisor.com/AttractionProductReview-g187147-d11473942-Versailles_Bike_Tour_with_Marie_Antoinette_s_domain_timed_ticket_into_Palace-Paris.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11473942-Versailles_Bike_Tour_with_Marie_Antoinette_s_domain_timed_ticket_into_Palace-Paris.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/eb/e6/caption.jpg?w=500&h=400&s=1,Versailles Bike Tour with Marie-Antoinette's domain & timed ticket into Palace,19.,552,https://www.tripadvisor.com/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html,Bike Tours,7–8 hours,Discover the true beauty of Versailles on this full-day tour from Paris. Meet up at a train station in Paris and board the…,,Free cancellation,from,$112.00,per adult,More info,98% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By My Private Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d15854061-Versailles_Skip_the_line_Private_tour_from_Paris_HALF_or_FULL_DAY-Paris_Ile_de_Fra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d15854061-Versailles_Skip_the_line_Private_tour_from_Paris_HALF_or_FULL_DAY-Paris_Ile_de_Fra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3c/f7/56/caption.jpg?w=500&h=400&s=1,Versailles - Skip-the-line Private tour from Paris (HALF or FULL DAY),20.,26,https://www.tripadvisor.com/Attraction_Review-g187147-d8468508-Reviews-My_Private_Paris-Paris_Ile_de_France.html,Bus Tours,4–8 hours,"If you only visit one French chateau while in Paris, make it the magnificent Palace of Versailles. This private tour lets…",,Free cancellation,from,$394.85,per adult,More info,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By My Winedays,https://www.tripadvisor.com/AttractionProductReview-g187147-d11481332-Champagne_Area_Small_Group_Day_Trip_with_8_Tastings_Lunch_from_Paris-Paris_Ile_de_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11481332-Champagne_Area_Small_Group_Day_Trip_with_8_Tastings_Lunch_from_Paris-Paris_Ile_de_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/32/71/caption.jpg?w=500&h=400&s=1,Champagne Area Small Group Day Trip with 8 Tastings & Lunch from Paris,21.,69,https://www.tripadvisor.com/Attraction_Review-g187147-d10392686-Reviews-My_Winedays-Paris_Ile_de_France.html,Bus Tours,6+ hours,Discover the region of Champagne in one day on this tour from Paris. You'll enjoy guided visits and tastings at renowned…,,Free cancellation,from,$304.34,per adult,More info,92% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Paris City Tours,https://www.tripadvisor.com/AttractionProductReview-g187147-d19260933-Seine_River_Cruise_French_Crepe_Tasting_At_The_Foot_of_the_Eiffel_Tower-Paris_Ile_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d19260933-Seine_River_Cruise_French_Crepe_Tasting_At_The_Foot_of_the_Eiffel_Tower-Paris_Ile_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e0/82/b6/caption.jpg?w=500&h=400&s=1,Seine River Cruise & French Crepe Tasting At The Foot of the Eiffel Tower,22.,24,https://www.tripadvisor.com/Attraction_Review-g226861-d13554052-Reviews-Paris_City_Tours-Rueil_Malmaison_Hauts_de_Seine_Ile_de_France.html,Private and Luxury,1–2 hours,Unwind while contemplating many monuments such as the Louvre Museum and Notre Dame Cathedral on a one hour Seine River cruise…,Taking safety measures,Free cancellation,from,$22.51,per adult,More info,,
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By History Bus,https://www.tripadvisor.com/AttractionProductReview-g187147-d11482945-Skip_the_Line_Ticket_Eiffel_Tower_Summit_Priority_Access_with_Host-Paris_Ile_de_Fr.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11482945-Skip_the_Line_Ticket_Eiffel_Tower_Summit_Priority_Access_with_Host-Paris_Ile_de_Fr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/14/caption.jpg?w=500&h=400&s=1,Skip the Line Ticket: Eiffel Tower Summit Priority Access with Host,23.,321,https://www.tripadvisor.com/Attraction_Review-g187147-d7305669-Reviews-History_Bus-Paris_Ile_de_France.html,Walking Tours,1 hour,"With this skip-the-line Eiffel Tower entrance, take advantage one of only a few priority admission tickets to the tower …",Taking safety measures,Free cancellation,from,$73.54,per adult,More info,,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Paris City Vision,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446381-Paris_Seine_River_Gourmet_Dinner_Cruise_with_Champagne_Exclusive_Viator-Paris_Ile_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446381-Paris_Seine_River_Gourmet_Dinner_Cruise_with_Champagne_Exclusive_Viator-Paris_Ile_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/ef/d9/caption.jpg?w=500&h=400&s=1,Paris Seine River Gourmet Dinner Cruise with Champagne Exclusive Viator,24.,97,https://www.tripadvisor.com/Attraction_Review-g187147-d667302-Reviews-Paris_City_Vision-Paris_Ile_de_France.html,Coffee Cruises,1–2 hours,"Treat yourself with double luxury! - the incredible sights of Paris, paired with fine French cuisine and champagne. Leisurely…",Taking safety measures,Free cancellation,from,$90.84,per adult,More info,,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Paris City Vision,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446387-Versailles_Palace_Giverny_s_Monet_House_Guided_Visit_with_Lunch_from_Paris-Paris_I.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446387-Versailles_Palace_Giverny_s_Monet_House_Guided_Visit_with_Lunch_from_Paris-Paris_I.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/1e/f9/caption.jpg?w=500&h=400&s=1,Versailles Palace & Giverny's Monet House Guided Visit with Lunch from Paris,25.,75,https://www.tripadvisor.com/Attraction_Review-g187147-d667302-Reviews-Paris_City_Vision-Paris_Ile_de_France.html,Bus Tours,6+ hours,Think of France and what comes to mind? Chances are the Palace of Versailles and the Impressionists are up there in your…,Taking safety measures,Free cancellation,from,$228.81,per adult,More info,,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ExperienceFirst Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d15040216-Paris_Eiffel_Tower_Guided_Tour_with_Access_Via_Lift-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d15040216-Paris_Eiffel_Tower_Guided_Tour_with_Access_Via_Lift-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/c6/66/caption.jpg?w=500&h=400&s=1,Paris Eiffel Tower Guided Tour with Access Via Lift,26.,406,https://www.tripadvisor.com/Attraction_Review-g187147-d12103860-Reviews-ExperienceFirst_Paris-Paris_Ile_de_France.html,Private and Luxury,90–120 minutes,Join your expert guide for a ride up the Eiffel Tower. On the way up you will hear stories and fun facts about the Tower…,,Free cancellation,from,$47.52,per adult,More info,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Paris City Vision,https://www.tripadvisor.com/AttractionProductReview-g187147-d11477812-Paris_Seine_River_Gourmet_Dinner_Cruise-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11477812-Paris_Seine_River_Gourmet_Dinner_Cruise-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/32/59/caption.jpg?w=500&h=400&s=1,Paris Seine River Gourmet Dinner Cruise,27.,185,https://www.tripadvisor.com/Attraction_Review-g187147-d667302-Reviews-Paris_City_Vision-Paris_Ile_de_France.html,Sunset Cruises,2 hours,Enjoy a cruise along the River Seine in Paris while having dinner aboard La Marina de Paris glass-enclosed boat. Take in…,Taking safety measures,Free cancellation,from,$84.63,per adult,More info,,
