WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,iPqaD href 3,dugSS src 2,WlYyy 3,iPqaD,iPqaD href 5,WlYyy 4,dkvhj,WlYyy 6
205,https://www.tripadvisor.com/Attraction_Review-g1940497-d7175619-Reviews-Mohammed_Al_Ameen_Mosque-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/11/ea/18/photo0jpg.jpg?w=500&h=-1&s=1,Mohammed Al Ameen Mosque,10.,https://www.tripadvisor.com/Attraction_Review-g1940497-d7175619-Reviews-Mohammed_Al_Ameen_Mosque-Muscat_Muscat_Governorate.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,
265,https://www.tripadvisor.com/Attraction_Review-g1940497-d4583247-Reviews-Amouage_Perfumery-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0e/71/54/amouage-perfumery.jpg?w=500&h=400&s=1,Amouage Perfumery,11.,https://www.tripadvisor.com/Attraction_Review-g1940497-d4583247-Reviews-Amouage_Perfumery-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums,https://www.tripadvisor.com/Profile/atr525,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,By,atr525,https://www.tripadvisor.com/ShowUserReviews-g1940497-d4583247-r614570610-Amouage_Perfumery-Muscat_Muscat_Governorate.html,We bought perfume for me and some for my husband so will remind us of our visit to,Oman,
338,https://www.tripadvisor.com/Attraction_Review-g1940497-d3318469-Reviews-Qantab_Beach-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/d0/e2/1f/qantab-beach.jpg?w=500&h=-1&s=1,Qantab Beach,12.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3318469-Reviews-Qantab_Beach-Muscat_Muscat_Governorate.html#REVIEWS,Beaches,https://www.tripadvisor.com/Profile/UNCLESAM911,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,By,UNCLESAM911,https://www.tripadvisor.com/ShowUserReviews-g1940497-d3318469-r687413807-Qantab_Beach-Muscat_Muscat_Governorate.html,VIRGIN beach quite clear water wonderfully pleasant waves,boat,
251,https://www.tripadvisor.com/Attraction_Review-g1940497-d8321840-Reviews-Oman_Avenues_Mall-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c5/fc/46/oman-avenues-mall.jpg?w=500&h=400&s=1,Oman Avenues Mall,13.,https://www.tripadvisor.com/Attraction_Review-g1940497-d8321840-Reviews-Oman_Avenues_Mall-Muscat_Muscat_Governorate.html#REVIEWS,Shopping Malls,https://www.tripadvisor.com/Profile/Al-Barwan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg?w=100&h=-1&s=1,By,Al-Barwan,https://www.tripadvisor.com/ShowUserReviews-g1940497-d8321840-r562461195-Oman_Avenues_Mall-Muscat_Muscat_Governorate.html,Very large mall with everything needed.Next to it is a,Lulu,Open now
148,https://www.tripadvisor.com/Attraction_Review-g1940497-d9717282-Reviews-Al_Sifah_Beach-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f6/35/13/getlstd-property-photo.jpg?w=500&h=400&s=1,Al Sifah Beach,14.,https://www.tripadvisor.com/Attraction_Review-g1940497-d9717282-Reviews-Al_Sifah_Beach-Muscat_Muscat_Governorate.html#REVIEWS,Beaches,https://www.tripadvisor.com/Profile/amishik,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/96/21/34/amishi-k.jpg?w=100&h=-1&s=1,By,amishik,https://www.tripadvisor.com/ShowUserReviews-g1940497-d9717282-r602582310-Al_Sifah_Beach-Muscat_Muscat_Governorate.html,life,Beautiful Beach,
343,https://www.tripadvisor.com/Attraction_Review-g1940497-d3970171-Reviews-Qurum_Natural_Park-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/7b/35/ce/qurum-natural-park.jpg?w=500&h=400&s=1,Qurum Natural Park,15.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3970171-Reviews-Qurum_Natural_Park-Muscat_Muscat_Governorate.html#REVIEWS,Parks,,,,,,,,
198,https://www.tripadvisor.com/Attraction_Review-g1940497-d2433342-Reviews-Sultan_s_Armed_Forces_Museum-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/eb/d8/1d/had-a-trip-to-this-gem.jpg?w=500&h=-1&s=1,Sultan's Armed Forces Museum,16.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2433342-Reviews-Sultan_s_Armed_Forces_Museum-Muscat_Muscat_Governorate.html#REVIEWS,Military Museums,https://www.tripadvisor.com/Profile/Wander622417,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,By,Wander622417,https://www.tripadvisor.com/ShowUserReviews-g1940497-d2433342-r563947439-Sultan_s_Armed_Forces_Museum-Muscat_Muscat_Governorate.html,"For a very low entry fee, they give a",personal guide,
244,https://www.tripadvisor.com/Attraction_Review-g1940497-d7280541-Reviews-Muscat_Grand_Mall-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/93/5e/73/muscat-grand-mall.jpg?w=500&h=400&s=1,Muscat Grand Mall,17.,https://www.tripadvisor.com/Attraction_Review-g1940497-d7280541-Reviews-Muscat_Grand_Mall-Muscat_Muscat_Governorate.html#REVIEWS,Shopping Malls,,,,,,,,
157,https://www.tripadvisor.com/Attraction_Review-g1940497-d2256478-Reviews-Ghalya_s_Museum_of_Modern_Art-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7e/79/e5/bayan-esti-ve-dostlarimiz.jpg?w=500&h=-1&s=1,Ghalya's Museum of Modern Art,18.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2256478-Reviews-Ghalya_s_Museum_of_Modern_Art-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums • Art Museums,,,,,,,,Open now
200,https://www.tripadvisor.com/Attraction_Review-g1940497-d3645780-Reviews-Yiti-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/66/32/35/yiti.jpg?w=500&h=400&s=1,Yiti,19.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3645780-Reviews-Yiti-Muscat_Muscat_Governorate.html#REVIEWS,Neighborhoods,,,,,,,,
180,https://www.tripadvisor.com/Attraction_Review-g1940497-d3970174-Reviews-Mutrah_Fish_Market-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8e/02/e1/fish-market-port-corniche.jpg?w=500&h=-1&s=1,Mutrah Fish Market,20.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3970174-Reviews-Mutrah_Fish_Market-Muscat_Muscat_Governorate.html#REVIEWS,Flea & Street Markets,,,,,,,,
39,https://www.tripadvisor.com/Attraction_Review-g1940497-d9559890-Reviews-Pebble_Beach-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c4/81/eb/pebble-beach.jpg?w=500&h=400&s=1,Pebble Beach,21.,https://www.tripadvisor.com/Attraction_Review-g1940497-d9559890-Reviews-Pebble_Beach-Muscat_Muscat_Governorate.html#REVIEWS,Beaches,,,,,,,,
24,https://www.tripadvisor.com/Attraction_Review-g1940497-d1236763-Reviews-Hajjar_Mountains-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/02/17/78/hajjar-mountains.jpg?w=500&h=400&s=1,Hajjar Mountains,22.,https://www.tripadvisor.com/Attraction_Review-g1940497-d1236763-Reviews-Hajjar_Mountains-Muscat_Muscat_Governorate.html#REVIEWS,Mountains,,,,,,,,
152,https://www.tripadvisor.com/Attraction_Review-g1940497-d2641787-Reviews-Bait_Al_Baranda-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/9c/e3/79/inside-ground-floor.jpg?w=500&h=-1&s=1,Bait Al-Baranda,23.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2641787-Reviews-Bait_Al_Baranda-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums,,,,,,,,
89,https://www.tripadvisor.com/Attraction_Review-g1940497-d3807996-Reviews-Oman_Oil_and_Gas_Exhibition_Centre-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/af/db/c8/caption.jpg?w=500&h=400&s=1,Oman Oil and Gas Exhibition Centre,24.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3807996-Reviews-Oman_Oil_and_Gas_Exhibition_Centre-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums,,,,,,,,Open now
116,https://www.tripadvisor.com/Attraction_Review-g1940497-d2433328-Reviews-Natural_History_Museum-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/84/da/0c/photo3jpg.jpg?w=500&h=-1&s=1,Natural History Museum,25.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2433328-Reviews-Natural_History_Museum-Muscat_Muscat_Governorate.html#REVIEWS,Natural History Museums,,,,,,,,
21,https://www.tripadvisor.com/Attraction_Review-g1940497-d17377405-Reviews-Oman_Aquarium-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4d/54/87/photo2jpg.jpg?w=500&h=400&s=1,Oman Aquarium,26.,https://www.tripadvisor.com/Attraction_Review-g1940497-d17377405-Reviews-Oman_Aquarium-Muscat_Muscat_Governorate.html#REVIEWS,Aquariums,,,,,,,,
62,https://www.tripadvisor.com/Attraction_Review-g1940497-d3385222-Reviews-Oman_Children_s_Museum-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/02/48/cf/children-s-museum.jpg?w=500&h=-1&s=1,Oman Children's Museum,27.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3385222-Reviews-Oman_Children_s_Museum-Muscat_Muscat_Governorate.html#REVIEWS,Children's Museums,,,,,,,,
22,https://www.tripadvisor.com/Attraction_Review-g1940497-d17376604-Reviews-Mutrah_Fort-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/45/81/c2/mutrah-fort.jpg?w=500&h=-1&s=1,Mutrah Fort,28.,https://www.tripadvisor.com/Attraction_Review-g1940497-d17376604-Reviews-Mutrah_Fort-Muscat_Muscat_Governorate.html#REVIEWS,Historic Sites,,,,,,,,Open now
48,https://www.tripadvisor.com/Attraction_Review-g1940497-d10252043-Reviews-Panorama_Mall-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8c/cf/fc/photo4jpg.jpg?w=500&h=-1&s=1,Panorama Mall,29.,https://www.tripadvisor.com/Attraction_Review-g1940497-d10252043-Reviews-Panorama_Mall-Muscat_Muscat_Governorate.html#REVIEWS,Shopping Malls,,,,,,,,
29,https://www.tripadvisor.com/Attraction_Review-g1940497-d8046440-Reviews-Qurm_City_Centre-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ff/d4/5d/qurum.jpg?w=500&h=400&s=1,Qurm City Centre,30.,https://www.tripadvisor.com/Attraction_Review-g1940497-d8046440-Reviews-Qurm_City_Centre-Muscat_Muscat_Governorate.html#REVIEWS,Shopping Malls,,,,,,,,
1,,,,,,2,,,,,,,,
"2,472",https://www.tripadvisor.com/Attraction_Review-g1940497-d2335344-Reviews-Royal_Opera_House-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d7/03/44/amazing-royal-opera-house.jpg?w=500&h=400&s=1,Royal Opera House,2.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2335344-Reviews-Royal_Opera_House-Muscat_Muscat_Governorate.html#REVIEWS,Architectural Buildings • Theaters,https://www.tripadvisor.com/Profile/Vicky07Miami_FL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/93/88/f1/vicky07miami-fl.jpg?w=100&h=-1&s=1,By,Vicky07Miami_FL,https://www.tripadvisor.com/ShowUserReviews-g1940497-d2335344-r663329591-Royal_Opera_House-Muscat_Muscat_Governorate.html,Omanis are lucky to have this,amazing building,
825,https://www.tripadvisor.com/Attraction_Review-g1940497-d2299517-Reviews-Wadi_Bani_Khalid-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/a0/64/17/le-wadi.jpg?w=500&h=400&s=1,Wadi Bani Khalid,3.,https://www.tripadvisor.com/Attraction_Review-g1940497-d2299517-Reviews-Wadi_Bani_Khalid-Muscat_Muscat_Governorate.html#REVIEWS,Nature & Wildlife Areas,https://www.tripadvisor.com/Profile/ChicaAdventura,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,By,ChicaAdventura,https://www.tripadvisor.com/ShowUserReviews-g1940497-d2299517-r602952922-Wadi_Bani_Khalid-Muscat_Muscat_Governorate.html,with date palms and ancient watering system.,Beautiful oasis,
709,https://www.tripadvisor.com/Attraction_Review-g1940497-d1719151-Reviews-Bimmah_Sinkhole-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/8b/3f/one-of-oman-s-best-attractions.jpg?w=500&h=-1&s=1,Bimmah Sinkhole,4.,https://www.tripadvisor.com/Attraction_Review-g1940497-d1719151-Reviews-Bimmah_Sinkhole-Muscat_Muscat_Governorate.html#REVIEWS,Points of Interest & Landmarks • Geologic Formations,https://www.tripadvisor.com/Profile/kv2707,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4d/61/17/caption.jpg?w=100&h=-1&s=1,By,kv2707,https://www.tripadvisor.com/ShowUserReviews-g1940497-d1719151-r669390800-Bimmah_Sinkhole-Muscat_Muscat_Governorate.html,We visited enroute the,Wadi Shab,
396,https://www.tripadvisor.com/Attraction_Review-g1940497-d10700073-Reviews-The_National_Museum-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e0/ef/b9/the-national-museum-at.jpg?w=500&h=400&s=1,The National Museum,5.,https://www.tripadvisor.com/Attraction_Review-g1940497-d10700073-Reviews-The_National_Museum-Muscat_Muscat_Governorate.html#REVIEWS,Art Museums • Children's Museums,https://www.tripadvisor.com/Profile/kombizz,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/92/57/be/kombizz.jpg?w=100&h=-1&s=1,By,kombizz,https://www.tripadvisor.com/ShowUserReviews-g1940497-d10700073-r753066666-The_National_Museum-Muscat_Muscat_Governorate.html,This museum has a great cultural collection of the Omani culture and it's tradition which are part of,Omani history,Open now
268,https://www.tripadvisor.com/Attraction_Review-g1940497-d3767431-Reviews-Wadi_Al_Arbeieen-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ab/eb/c1/wadi.jpg?w=500&h=-1&s=1,Wadi Al Arbeieen,6.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3767431-Reviews-Wadi_Al_Arbeieen-Muscat_Muscat_Governorate.html#REVIEWS,Bodies of Water,https://www.tripadvisor.com/Profile/SalmanG19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,By,SalmanG19,https://www.tripadvisor.com/ShowUserReviews-g1940497-d3767431-r571465623-Wadi_Al_Arbeieen-Muscat_Muscat_Governorate.html,The,Wadi,
"1,466",https://www.tripadvisor.com/Attraction_Review-g1940497-d3591055-Reviews-Qurum_Beach-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/00/6c/cd/qurum-beach.jpg?w=500&h=-1&s=1,Qurum Beach,7.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3591055-Reviews-Qurum_Beach-Muscat_Muscat_Governorate.html#REVIEWS,Beaches,https://www.tripadvisor.com/Profile/saschastreule,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/01/90/1c/caption.jpg?w=100&h=-1&s=1,By,saschastreule,https://www.tripadvisor.com/ShowUserReviews-g1940497-d3591055-r715998554-Qurum_Beach-Muscat_Muscat_Governorate.html,for a longer walk or just relaxing at the sea side.,Nice beach,
956,https://www.tripadvisor.com/Attraction_Review-g1940497-d3572445-Reviews-Bait_Al_Zubair-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a7/47/4b/bait-al-zubair-museum.jpg?w=500&h=-1&s=1,Bait Al Zubair,8.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3572445-Reviews-Bait_Al_Zubair-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums,https://www.tripadvisor.com/Profile/ging466,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/23/46/03/ging466.jpg?w=100&h=-1&s=1,By,ging466,https://www.tripadvisor.com/ShowUserReviews-g1940497-d3572445-r734528869-Bait_Al_Zubair-Muscat_Muscat_Governorate.html,privately owned by a very wealthy Omani family.,Very interesting museum,Open now
471,https://www.tripadvisor.com/Attraction_Review-g1940497-d3997749-Reviews-Muscat_City_Centre-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e3/3f/d2/muscat-city-centre.jpg?w=500&h=400&s=1,Muscat City Centre,9.,https://www.tripadvisor.com/Attraction_Review-g1940497-d3997749-Reviews-Muscat_City_Centre-Muscat_Muscat_Governorate.html#REVIEWS,Shopping Malls,https://www.tripadvisor.com/Profile/89bobn,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,By,89bobn,https://www.tripadvisor.com/ShowUserReviews-g1940497-d3997749-r666236219-Muscat_City_Centre-Muscat_Muscat_Governorate.html,was very interesting with a lovely smell of Frankincense around.,Souq,Open now
205,https://www.tripadvisor.com/Attraction_Review-g1940497-d7175619-Reviews-Mohammed_Al_Ameen_Mosque-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/11/ea/18/photo0jpg.jpg?w=500&h=-1&s=1,Mohammed Al Ameen Mosque,10.,https://www.tripadvisor.com/Attraction_Review-g1940497-d7175619-Reviews-Mohammed_Al_Ameen_Mosque-Muscat_Muscat_Governorate.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,
265,https://www.tripadvisor.com/Attraction_Review-g1940497-d4583247-Reviews-Amouage_Perfumery-Muscat_Muscat_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0e/71/54/amouage-perfumery.jpg?w=500&h=400&s=1,Amouage Perfumery,11.,https://www.tripadvisor.com/Attraction_Review-g1940497-d4583247-Reviews-Amouage_Perfumery-Muscat_Muscat_Governorate.html#REVIEWS,Speciality Museums,https://www.tripadvisor.com/Profile/atr525,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,By,atr525,https://www.tripadvisor.com/ShowUserReviews-g1940497-d4583247-r614570610-Amouage_Perfumery-Muscat_Muscat_Governorate.html,We bought perfume for me and some for my husband so will remind us of our visit to,Oman,
2,,,,,,1,,,3,,,,,
