WlYyy,FmrIP href,dugSS src,dugSS src 2,bUshh,cIVmB,iPqaD href 2,WlYyy 2,iPqaD href 3,WlYyy 3,iPqaD,iPqaD href 5,WlYyy 4,dkvhj,WlYyy 5,WlYyy 6
403,https://www.tripadvisor.com/Attraction_Review-g294009-d386696-Reviews-State_Grand_Mosque-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b2/8a/c3/state-grand-mosque.jpg?w=500&h=400&s=1,,State Grand Mosque,10.,https://www.tripadvisor.com/Attraction_Review-g294009-d386696-Reviews-State_Grand_Mosque-Doha.html#REVIEWS,Religious Sites,,,,,,,,
502,https://www.tripadvisor.com/Attraction_Review-g294009-d8712746-Reviews-MIA_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a5/ef/43/mia-park.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5c/7d/2e/raffiaazeez.jpg?w=100&h=-1&s=1,MIA Park,11.,https://www.tripadvisor.com/Attraction_Review-g294009-d8712746-Reviews-MIA_Park-Doha.html#REVIEWS,Parks • Playgrounds,https://www.tripadvisor.com/Profile/RaffiaAzeez,By,RaffiaAzeez,https://www.tripadvisor.com/ShowUserReviews-g294009-d8712746-r804602061-MIA_Park-Doha.html,The,west bay,view in nights is amazing and so is the sunrise in mornings Must go if u r visitor to this beautiful cou...,
"2,219",https://www.tripadvisor.com/Attraction_Review-g294009-d386695-Reviews-City_Centre_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/06/ac/85/caption.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,City Centre Mall,12.,https://www.tripadvisor.com/Attraction_Review-g294009-d386695-Reviews-City_Centre_Mall-Doha.html#REVIEWS,Amusement & Theme Parks • Shopping Malls,https://www.tripadvisor.com/Profile/936micks,By,936micks,https://www.tripadvisor.com/ShowUserReviews-g294009-d386695-r746534760-City_Centre_Mall-Doha.html,Well worth a stroll around - the,food court,has a good selection of fast food outlets chose from and there a few rest...,
398,https://www.tripadvisor.com/Attraction_Review-g294009-d16655379-Reviews-Museum_of_Illusions-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/10/4a/ae/infinity-room.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,Museum of Illusions,13.,https://www.tripadvisor.com/Attraction_Review-g294009-d16655379-Reviews-Museum_of_Illusions-Doha.html#REVIEWS,Speciality Museums,https://www.tripadvisor.com/Profile/flywithp,By,flywithp,https://www.tripadvisor.com/ShowUserReviews-g294009-d16655379-r771467539-Museum_of_Illusions-Doha.html,when we arrived we were helped by Moez he was very professional and helped us throughout our exper...,Amazing experience,,Open now
154,https://www.tripadvisor.com/Attraction_Review-g294009-d8836153-Reviews-Msheireb_Museums-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/94/76/b8/getlstd-property-photo.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/51/5a/73/caption.jpg?w=100&h=-1&s=1,Msheireb Museums,14.,https://www.tripadvisor.com/Attraction_Review-g294009-d8836153-Reviews-Msheireb_Museums-Doha.html#REVIEWS,Speciality Museums • History Museums,https://www.tripadvisor.com/Profile/nordinarylov_e,By,nordinarylov_e,https://www.tripadvisor.com/ShowUserReviews-g294009-d8836153-r610876315-Msheireb_Museums-Doha.html,... and their themes and I was really impressed by the theme in the 1st building which was for the,Modern Slavery,.,Open now
180,https://www.tripadvisor.com/Attraction_Review-g294009-d3177540-Reviews-Falcon_Souk-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a8/f0/33/falcon-souq.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/81/default-avatar-2020-43.jpg?w=100&h=-1&s=1,Falcon Souk,15.,https://www.tripadvisor.com/Attraction_Review-g294009-d3177540-Reviews-Falcon_Souk-Doha.html#REVIEWS,Flea & Street Markets,https://www.tripadvisor.com/Profile/Rumples,By,Rumples,https://www.tripadvisor.com/ShowUserReviews-g294009-d3177540-r741184515-Falcon_Souk-Doha.html,This souq also sells many falconry,accessories,", such as hoods, falconer gloves and veterinary supplies.",
127,https://www.tripadvisor.com/Attraction_Review-g294009-d3874616-Reviews-Khalifa_International_Stadium-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b2/f9/6a/le-stade-et-la-torch.jpg?w=500&h=400&s=1,,Khalifa International Stadium,16.,https://www.tripadvisor.com/Attraction_Review-g294009-d3874616-Reviews-Khalifa_International_Stadium-Doha.html#REVIEWS,Arenas & Stadiums,,,,,,,,
347,https://www.tripadvisor.com/Attraction_Review-g294009-d2061376-Reviews-Fanar_Qatar_Islamic_Cultural_Center-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ba/3c/a9/the-fanar-from-a-different.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/94/93/28/saronic.jpg?w=100&h=-1&s=1,Fanar - Qatar Islamic Cultural Center,17.,https://www.tripadvisor.com/Attraction_Review-g294009-d2061376-Reviews-Fanar_Qatar_Islamic_Cultural_Center-Doha.html#REVIEWS,Religious Sites,https://www.tripadvisor.com/Profile/saronic,By,saronic,https://www.tripadvisor.com/ShowUserReviews-g294009-d2061376-r779871849-Fanar_Qatar_Islamic_Cultural_Center-Doha.html,"A design, which is known from the famous 9th century",Great Mosque,"of Samarra, north of Baghdad, again probably inspir...",Open now
104,https://www.tripadvisor.com/Attraction_Review-g294009-d14774558-Reviews-Discover_Qatar-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e5/4e/6a/caption.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/28/83/9f/adss1230.jpg?w=100&h=-1&s=1,Discover Qatar,18.,https://www.tripadvisor.com/Attraction_Review-g294009-d14774558-Reviews-Discover_Qatar-Doha.html#REVIEWS,City Tours,https://www.tripadvisor.com/Profile/adss1230,By,adss1230,https://www.tripadvisor.com/ShowUserReviews-g294009-d14774558-r644542452-Discover_Qatar-Doha.html,"For a very reasonable price per person, Discover",Qatar,will take you on a bus tour throughout Doha and stop at the ma...,Open now
188,https://www.tripadvisor.com/Attraction_Review-g294009-d8435229-Reviews-Katara_Mosque-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/04/e1/58/katara-mosque-exterior.jpg?w=500&h=-1&s=1,,Katara Mosque,19.,https://www.tripadvisor.com/Attraction_Review-g294009-d8435229-Reviews-Katara_Mosque-Doha.html#REVIEWS,Religious Sites,,,,,,,,
272,https://www.tripadvisor.com/Attraction_Review-g294009-d3461786-Reviews-Aqua_Park_Qatar-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ea/94/90/photo0jpg.jpg?w=500&h=-1&s=1,,Aqua Park Qatar,20.,https://www.tripadvisor.com/Attraction_Review-g294009-d3461786-Reviews-Aqua_Park_Qatar-Doha.html#REVIEWS,Water Parks,,,,,,,,
140,https://www.tripadvisor.com/Attraction_Review-g294009-d19507835-Reviews-Doha_Metro-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e1/b2/8b/photo2jpg.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,Doha Metro,21.,https://www.tripadvisor.com/Attraction_Review-g294009-d19507835-Reviews-Doha_Metro-Doha.html#REVIEWS,Public Transportation Systems,https://www.tripadvisor.com/Profile/stevepE6264AR,By,stevepE6264AR,https://www.tripadvisor.com/ShowUserReviews-g294009-d19507835-r742191684-Doha_Metro-Doha.html,Brilliant new,metro system,that goes to almost all places in the city.,
180,https://www.tripadvisor.com/Attraction_Review-g294009-d2693190-Reviews-Lagoona_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/13/03/7f/lagoona-mall.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,Lagoona Mall,22.,https://www.tripadvisor.com/Attraction_Review-g294009-d2693190-Reviews-Lagoona_Mall-Doha.html#REVIEWS,Shopping Malls,https://www.tripadvisor.com/Profile/RiiiShaaa,By,RiiiShaaa,https://www.tripadvisor.com/ShowUserReviews-g294009-d2693190-r736524112-Lagoona_Mall-Doha.html,"supermarket has everything you need at more affordable prices, and has an online website to check beforehand.",Carrefour,,Open now
284,https://www.tripadvisor.com/Attraction_Review-g294009-d12500074-Reviews-The_Pearl_Monument-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/0e/83/64/the-pearl-monument-during.jpg?w=500&h=400&s=1,,The Pearl Monument,23.,https://www.tripadvisor.com/Attraction_Review-g294009-d12500074-Reviews-The_Pearl_Monument-Doha.html#REVIEWS,Points of Interest & Landmarks • Monuments & Statues,,,,,,,,
37,https://www.tripadvisor.com/Attraction_Review-g294009-d15610289-Reviews-Al_Bidda_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/93/8c/5a/photo0jpg.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d6/29/e4/caption.jpg?w=100&h=-1&s=1,Al Bidda Park,24.,https://www.tripadvisor.com/Attraction_Review-g294009-d15610289-Reviews-Al_Bidda_Park-Doha.html#REVIEWS,Biking Trails • Parks,https://www.tripadvisor.com/Profile/VinnieLondon_SE2,By,VinnieLondon_SE2,https://www.tripadvisor.com/ShowUserReviews-g294009-d15610289-r800582367-Al_Bidda_Park-Doha.html,"Some great views of the Corniche, bay and",West Bay,skyline throughout the park.,
37,https://www.tripadvisor.com/Attraction_Review-g294009-d11817080-Reviews-Tawar_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/d9/39/96/situated-right-in-the.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,Tawar Mall,25.,https://www.tripadvisor.com/Attraction_Review-g294009-d11817080-Reviews-Tawar_Mall-Doha.html#REVIEWS,Shopping Malls,https://www.tripadvisor.com/Profile/EGT86,By,EGT86,https://www.tripadvisor.com/ShowUserReviews-g294009-d11817080-r810265910-Tawar_Mall-Doha.html,I like this Mall because it have everything in 1 place.. easy access and parking located in,middle,of Doha.. quite pl...,Open now
79,https://www.tripadvisor.com/Attraction_Review-g294009-d12153067-Reviews-Hotel_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8e/2f/b7/sheraton-park.jpg?w=500&h=-1&s=1,,Hotel Park,26.,https://www.tripadvisor.com/Attraction_Review-g294009-d12153067-Reviews-Hotel_Park-Doha.html#REVIEWS,Parks • Playgrounds,,,,,,,,Open now
45,https://www.tripadvisor.com/Attraction_Review-g294009-d13482194-Reviews-Mirqab_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b8/8a/cd/the-mirqab-mall.jpg?w=500&h=-1&s=1,,Mirqab Mall,27.,https://www.tripadvisor.com/Attraction_Review-g294009-d13482194-Reviews-Mirqab_Mall-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
193,https://www.tripadvisor.com/Attraction_Review-g294009-d2479001-Reviews-Khalifa_Tennis_and_Squash_Complex-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/14/25/38/photo9jpg.jpg?w=500&h=-1&s=1,,Khalifa Tennis and Squash Complex,28.,https://www.tripadvisor.com/Attraction_Review-g294009-d2479001-Reviews-Khalifa_Tennis_and_Squash_Complex-Doha.html#REVIEWS,Arenas & Stadiums,,,,,,,,
52,https://www.tripadvisor.com/Attraction_Review-g294009-d10358077-Reviews-Dar_Al_Salam_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8a/2c/f3/nice-place.jpg?w=500&h=-1&s=1,,Dar Al Salam Mall,29.,https://www.tripadvisor.com/Attraction_Review-g294009-d10358077-Reviews-Dar_Al_Salam_Mall-Doha.html#REVIEWS,Shopping Malls,,,,,,,,Open now
95,https://www.tripadvisor.com/Attraction_Review-g294009-d5071980-Reviews-Simaisma_Beach-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/04/62/26/photo3jpg.jpg?w=500&h=-1&s=1,,Simaisma Beach,30.,https://www.tripadvisor.com/Attraction_Review-g294009-d5071980-Reviews-Simaisma_Beach-Doha.html#REVIEWS,Beaches,,,,,,,,
1,,,,,,,2,,,,,,,,
2,,,,,,,1,,3,,,,,,
113,https://www.tripadvisor.com/Attraction_Review-g294009-d7932636-Reviews-Lusail_International_Circuit-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7e/6e/c7/motogp-2015.jpg?w=500&h=-1&s=1,,Lusail International Circuit,31.,https://www.tripadvisor.com/Attraction_Review-g294009-d7932636-Reviews-Lusail_International_Circuit-Doha.html#REVIEWS,Auto Racing Tracks,,,,,,,,
206,https://www.tripadvisor.com/Attraction_Review-g294009-d10261798-Reviews-Gondolania_Theme_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/9f/63/8c/the-canal.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,Gondolania Theme Park,32.,https://www.tripadvisor.com/Attraction_Review-g294009-d10261798-Reviews-Gondolania_Theme_Park-Doha.html#REVIEWS,Amusement & Theme Parks,https://www.tripadvisor.com/Profile/Amo1970,By,Amo1970,https://www.tripadvisor.com/ShowUserReviews-g294009-d10261798-r722217366-Gondolania_Theme_Park-Doha.html,"... Middle East, I loved it too, wish it went through the whole",Mall,and had a drop off point from one side to another,
76,https://www.tripadvisor.com/Attraction_Review-g294009-d8750415-Reviews-Gulf_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ff/fb/51/20160917-230258-largejpg.jpg?w=500&h=400&s=1,,Gulf Mall,33.,https://www.tripadvisor.com/Attraction_Review-g294009-d8750415-Reviews-Gulf_Mall-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
52,https://www.tripadvisor.com/Attraction_Review-g294009-d12030499-Reviews-Dafna_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/31/94/5e/dafna-park-doha.jpg?w=500&h=-1&s=1,,Dafna Park,34.,https://www.tripadvisor.com/Attraction_Review-g294009-d12030499-Reviews-Dafna_Park-Doha.html#REVIEWS,Points of Interest & Landmarks • Scenic Walking Areas,,,,,,,,
102,https://www.tripadvisor.com/Attraction_Review-g294009-d7973936-Reviews-The_Gate_Mall_Doha-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/31/7d/f5/the-gate-mall-doha.jpg?w=500&h=400&s=1,,The Gate Mall Doha,35.,https://www.tripadvisor.com/Attraction_Review-g294009-d7973936-Reviews-The_Gate_Mall_Doha-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
200,https://www.tripadvisor.com/Attraction_Review-g294009-d2268344-Reviews-Mathaf_Arab_Museum_of_Modern_Art-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/2e/2c/42/mathaf-arab-museum-of.jpg?w=500&h=400&s=1,,Mathaf Arab Museum of Modern Art,36.,https://www.tripadvisor.com/Attraction_Review-g294009-d2268344-Reviews-Mathaf_Arab_Museum_of_Modern_Art-Doha.html#REVIEWS,Speciality Museums,,,,,,,,
80,https://www.tripadvisor.com/Attraction_Review-g294009-d8871752-Reviews-Doha_Exhibition_and_Convention_Center-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/36/d2/8e/doha-exhibition-and-convention.jpg?w=500&h=400&s=1,,Doha Exhibition and Convention Center,37.,https://www.tripadvisor.com/Attraction_Review-g294009-d8871752-Reviews-Doha_Exhibition_and_Convention_Center-Doha.html#REVIEWS,Convention Centers,,,,,,,,
97,https://www.tripadvisor.com/Attraction_Review-g294009-d7189742-Reviews-Ezdan_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/97/5a/35/popcorn-girl-ezdan-mall.jpg?w=500&h=-1&s=1,,Ezdan Mall,38.,https://www.tripadvisor.com/Attraction_Review-g294009-d7189742-Reviews-Ezdan_Mall-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
74,https://www.tripadvisor.com/Attraction_Review-g294009-d8272930-Reviews-Fire_Station_Artist_in_Residence-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/16/31/61/fire-station-artist-in.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/6c/53/65/tareq-i.jpg?w=100&h=-1&s=1,Fire Station Artist in Residence,39.,https://www.tripadvisor.com/Attraction_Review-g294009-d8272930-Reviews-Fire_Station_Artist_in_Residence-Doha.html#REVIEWS,Art Galleries,https://www.tripadvisor.com/Profile/tareqilyan,By,tareqilyan,https://www.tripadvisor.com/ShowUserReviews-g294009-d8272930-r777925605-Fire_Station_Artist_in_Residence-Doha.html,.,Picasso exhibit,,
70,https://www.tripadvisor.com/Attraction_Review-g294009-d2507086-Reviews-Msheireb_Enrichment_Centre-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/62/cd/46/terrace.jpg?w=500&h=400&s=1,,Msheireb Enrichment Centre,40.,https://www.tripadvisor.com/Attraction_Review-g294009-d2507086-Reviews-Msheireb_Enrichment_Centre-Doha.html#REVIEWS,Speciality Museums,,,,,,,,Open now
54,https://www.tripadvisor.com/Attraction_Review-g294009-d10313061-Reviews-Park_Cafe-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/90/5e/a7/park-cafe-1.jpg?w=500&h=-1&s=1,,Park Cafe,41.,https://www.tripadvisor.com/Attraction_Review-g294009-d10313061-Reviews-Park_Cafe-Doha.html#REVIEWS,Parks • Gardens,,,,,,,,
17,https://www.tripadvisor.com/Attraction_Review-g294009-d3177537-Reviews-Wholesale_Market-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/f4/77/a1/wholesale-market.jpg?w=500&h=400&s=1,,Wholesale Market,42.,https://www.tripadvisor.com/Attraction_Review-g294009-d3177537-Reviews-Wholesale_Market-Doha.html#REVIEWS,Flea & Street Markets,,,,,,,,
62,https://www.tripadvisor.com/Attraction_Review-g294009-d6882645-Reviews-The_Mall_Doha-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/6f/0a/fb/many-shops.jpg?w=500&h=-1&s=1,,The Mall Doha,43.,https://www.tripadvisor.com/Attraction_Review-g294009-d6882645-Reviews-The_Mall_Doha-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
21,https://www.tripadvisor.com/Attraction_Review-g294009-d3177515-Reviews-Vegetable_and_Fish_Market-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/fb/14/67/vegetable-and-fish-market.jpg?w=500&h=-1&s=1,,Vegetable and Fish Market,44.,https://www.tripadvisor.com/Attraction_Review-g294009-d3177515-Reviews-Vegetable_and_Fish_Market-Doha.html#REVIEWS,Flea & Street Markets,,,,,,,,
5,https://www.tripadvisor.com/Attraction_Review-g294009-d16753761-Reviews-Dahl_Al_Hamam_Park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a9/29/cc/photo3jpg.jpg?w=500&h=-1&s=1,,Dahl Al Hamam Park,45.,https://www.tripadvisor.com/Attraction_Review-g294009-d16753761-Reviews-Dahl_Al_Hamam_Park-Doha.html#REVIEWS,Parks • Gardens,,,,,,,,Open now
