WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,iPqaD href 3,dugSS src 2,WlYyy 5,iPqaD,iPqaD href 5,WlYyy 6,dkvhj,WlYyy 7,TCGml,WlYyy 8
"1,405",https://www.tripadvisor.com/Attraction_Review-g189400-d523835-Reviews-Philopappos_Hill-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/85/e6/37/filopappos-hill.jpg?w=500&h=400&s=1,Philopappos Hill,10.,https://www.tripadvisor.com/Attraction_Review-g189400-d523835-Reviews-Philopappos_Hill-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks • Historic Walking Areas,Thissio / Makriyanni,https://www.tripadvisor.com/Profile/ludortravel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c9/de/84/doru-c.jpg?w=100&h=-1&s=1,By,ludortravel,https://www.tripadvisor.com/ShowUserReviews-g189400-d523835-r821291798-Philopappos_Hill-Athens_Attica.html,", plenty of things to see",Nice walk,,,
"4,536",https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/77/1d/24/temple-of-hephaestus.jpg?w=500&h=-1&s=1,Temple of Hephaestus,11.,https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html#REVIEWS,Ancient Ruins • Religious Sites,Monastiraki,https://www.tripadvisor.com/Profile/dkolka,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,By,dkolka,https://www.tripadvisor.com/ShowUserReviews-g189400-d1064133-r746677058-Temple_of_Hephaestus-Athens_Attica.html,In the Ancient,Agora area,- a lovely peaceful oasis in a busy city.,,
"1,253",https://www.tripadvisor.com/Attraction_Review-g189400-d524609-Reviews-Anafiotika-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/9b/ea/05/anafiotika-is-a-hidden.jpg?w=500&h=-1&s=1,Anafiotika,12.,https://www.tripadvisor.com/Attraction_Review-g189400-d524609-Reviews-Anafiotika-Athens_Attica.html#REVIEWS,Neighborhoods,Anafiotika,https://www.tripadvisor.com/Profile/407marlenh,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,By,407marlenh,https://www.tripadvisor.com/ShowUserReviews-g189400-d524609-r678571348-Anafiotika-Athens_Attica.html,It’s the most beautiful walk in,narrow streets,with old houses and churches and the view of the city .,,
"1,520",https://www.tripadvisor.com/Attraction_Review-g189400-d198714-Reviews-Benaki_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/66/22/68/benaki-museum-the-entrance.jpg?w=500&h=-1&s=1,Benaki Museum,13.,https://www.tripadvisor.com/Attraction_Review-g189400-d198714-Reviews-Benaki_Museum-Athens_Attica.html#REVIEWS,Art Museums,Kolonaki / Lykavittos,https://www.tripadvisor.com/Profile/MadeleineL701,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/7e/04/ae/madeleine-l.jpg?w=100&h=-1&s=1,By,MadeleineL701,https://www.tripadvisor.com/ShowUserReviews-g189400-d198714-r659322234-Benaki_Museum-Athens_Attica.html,In this former town house you can spend the day marvelling at objets that participated in,Greek History,", many jewels...",•,Temporarily closed
"5,653",https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/80/c7/a0/the-ruins.jpg?w=500&h=400&s=1,Monastiraki,14.,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html#REVIEWS,Neighborhoods,Monastiraki,https://www.tripadvisor.com/Profile/44kates44,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/97/81/f8/44kates44.jpg?w=100&h=-1&s=1,By,44kates44,https://www.tripadvisor.com/ShowUserReviews-g189400-d265865-r582370432-Monastiraki-Athens_Attica.html,... square with stunning churches and views and a,flea market,it is great for shopping and easting and the traditiona...,•,Open now
"1,204",https://www.tripadvisor.com/Attraction_Review-g189400-d198712-Reviews-Museum_of_Cycladic_Art-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cf/fd/6e/caption.jpg?w=500&h=-1&s=1,Museum of Cycladic Art,15.,https://www.tripadvisor.com/Attraction_Review-g189400-d198712-Reviews-Museum_of_Cycladic_Art-Athens_Attica.html#REVIEWS,Art Museums,Kolonaki / Lykavittos,https://www.tripadvisor.com/Profile/JLHNYC67,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,By,JLHNYC67,https://www.tripadvisor.com/ShowUserReviews-g189400-d198712-r612691844-Museum_of_Cycladic_Art-Athens_Attica.html,It is convenient to Kolonaki and,Syntagma Square,.,•,Open now
"2,798",https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/87/1d/ef/the-erechtheion-or-erechtheum.jpg?w=500&h=400&s=1,Erechtheion,16.,https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html#REVIEWS,Ancient Ruins • Points of Interest & Landmarks,,https://www.tripadvisor.com/Profile/Gorton54,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f0/f5/a4/gorton54.jpg?w=100&h=-1&s=1,By,Gorton54,https://www.tripadvisor.com/ShowUserReviews-g189400-d246656-r709676862-Erechtheion-Athens_Attica.html,It is amazing to see even though the original Caryatid figures are in the,Acropolis museum,and one is in the London m...,,
"4,498",https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fe/fe/46/temple-of-olympian-zeus.jpg?w=500&h=400&s=1,Temple of Olympian Zeus,17.,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html#REVIEWS,Ancient Ruins • Monuments & Statues,Zappeion,https://www.tripadvisor.com/Profile/Canadianswhotravel16,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/99/71/e6/canadianswhotravel16.jpg?w=100&h=-1&s=1,By,Canadianswhotravel16,https://www.tripadvisor.com/ShowUserReviews-g189400-d242844-r676755272-Temple_of_Olympian_Zeus-Athens_Attica.html,The entrance to the Temple grounds are located near,Hadrian's Arch,"and the national park, a quick walk from the base...",,
327,https://www.tripadvisor.com/Attraction_Review-g189400-d2665638-Reviews-Hellenic_Motor_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e6/45/e2/caption.jpg?w=500&h=400&s=1,Hellenic Motor Museum,18.,https://www.tripadvisor.com/Attraction_Review-g189400-d2665638-Reviews-Hellenic_Motor_Museum-Athens_Attica.html#REVIEWS,Speciality Museums,Vathi,,,,,,,,,,
"1,069",https://www.tripadvisor.com/Attraction_Review-g189400-d241083-Reviews-Theater_of_Dionysus-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/9c/60/6.jpg?w=500&h=-1&s=1,Theater of Dionysus,19.,https://www.tripadvisor.com/Attraction_Review-g189400-d241083-Reviews-Theater_of_Dionysus-Athens_Attica.html#REVIEWS,Ancient Ruins,Thissio / Makriyanni,https://www.tripadvisor.com/Profile/OfftheirP,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/06/8e/39/off-their-p.jpg?w=100&h=-1&s=1,By,OfftheirP,https://www.tripadvisor.com/ShowUserReviews-g189400-d241083-r716000239-Theater_of_Dionysus-Athens_Attica.html,It dates back to the sixth,century BC,which is incredible in its own right!,,
980,https://www.tripadvisor.com/Attraction_Review-g189400-d242815-Reviews-Byzantine_and_Christian_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e2/a3/53/cortile.jpg?w=500&h=400&s=1,Byzantine and Christian Museum,20.,https://www.tripadvisor.com/Attraction_Review-g189400-d242815-Reviews-Byzantine_and_Christian_Museum-Athens_Attica.html#REVIEWS,History Museums,Pangrati,https://www.tripadvisor.com/Profile/margaretsU9120NK,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,By,margaretsU9120NK,https://www.tripadvisor.com/ShowUserReviews-g189400-d242815-r681761621-Byzantine_and_Christian_Museum-Athens_Attica.html,We walked to this museum from our hotel; It is a,beautiful building,"with lovely, shaded gardens.",•,Temporarily closed
"1,252",https://www.tripadvisor.com/Attraction_Review-g189400-d246659-Reviews-Temple_of_Athena_Nike-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ba/b0/9f/temple-athena.jpg?w=500&h=400&s=1,Temple of Athena Nike,21.,https://www.tripadvisor.com/Attraction_Review-g189400-d246659-Reviews-Temple_of_Athena_Nike-Athens_Attica.html#REVIEWS,Ancient Ruins • Monuments & Statues,,https://www.tripadvisor.com/Profile/JLC-mtl2015,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/9c/avatar.jpg?w=100&h=-1&s=1,By,JLC-mtl2015,https://www.tripadvisor.com/ShowUserReviews-g189400-d246659-r723129669-Temple_of_Athena_Nike-Athens_Attica.html,... Odeon of Herodes Atticus Theater and on the,Acropolis Hill,", surrounding the Parthenon you can see the Temple of A...",,
595,https://www.tripadvisor.com/Attraction_Review-g189400-d15137010-Reviews-Museum_of_Illusions_Athens-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/d4/20/50/museum-of-illusions-athens.jpg?w=500&h=400&s=1,Museum of Illusions Athens,22.,https://www.tripadvisor.com/Attraction_Review-g189400-d15137010-Reviews-Museum_of_Illusions_Athens-Athens_Attica.html#REVIEWS,Speciality Museums • Children's Museums,Monastiraki,https://www.tripadvisor.com/Profile/245orif,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,By,245orif,https://www.tripadvisor.com/ShowUserReviews-g189400-d15137010-r702769220-Museum_of_Illusions_Athens-Athens_Attica.html,Highly recommended for,all ages,.,•,Open now
487,https://www.tripadvisor.com/Attraction_Review-g189400-d498309-Reviews-War_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/61/25/71/caption.jpg?w=500&h=400&s=1,War Museum,23.,https://www.tripadvisor.com/Attraction_Review-g189400-d498309-Reviews-War_Museum-Athens_Attica.html#REVIEWS,Convention Centers • History Museums,Pangrati,https://www.tripadvisor.com/Profile/IbrahimD508,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d5/fa/0c/ibrahim-d.jpg?w=100&h=-1&s=1,By,IbrahimD508,https://www.tripadvisor.com/ShowUserReviews-g189400-d498309-r599386886-War_Museum-Athens_Attica.html,"As you might expect, this War Museum has a vast selection of exhibits, covering thousands of years of",Greek history,",...",•,Temporarily closed
396,https://www.tripadvisor.com/Attraction_Review-g189400-d13492914-Reviews-Kotsanas_Museum_of_Ancient_Greek_Technology-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fc/b0/84/getlstd-property-photo.jpg?w=500&h=400&s=1,Kotsanas Museum of Ancient Greek Technology,24.,https://www.tripadvisor.com/Attraction_Review-g189400-d13492914-Reviews-Kotsanas_Museum_of_Ancient_Greek_Technology-Athens_Attica.html#REVIEWS,Speciality Museums,Kolonaki,https://www.tripadvisor.com/Profile/alecsestefan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,By,alecsestefan,https://www.tripadvisor.com/ShowUserReviews-g189400-d13492914-r769221676-Kotsanas_Museum_of_Ancient_Greek_Technology-Athens_Attica.html,"There are 4 museums in one: ancient technology, ancient",musical instruments,", museum of armours and Tesla museum.",•,Open now
693,https://www.tripadvisor.com/Attraction_Review-g189400-d1064131-Reviews-Areopagus-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f0/ed/d0/filopappos-hill.jpg?w=500&h=-1&s=1,Areopagus,25.,https://www.tripadvisor.com/Attraction_Review-g189400-d1064131-Reviews-Areopagus-Athens_Attica.html#REVIEWS,Historic Sites • Geologic Formations,Omonia,https://www.tripadvisor.com/Profile/HawaiiCondo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/4f/da/04/hawaiicondo.jpg?w=100&h=-1&s=1,By,HawaiiCondo,https://www.tripadvisor.com/ShowUserReviews-g189400-d1064131-r611715618-Areopagus-Athens_Attica.html,Centuries of visitors on this spot have worn the,rocks,silky smooth and depending on you footwear you might find movi...,,
"1,340",https://www.tripadvisor.com/Attraction_Review-g189400-d246658-Reviews-National_Garden-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c3/15/67/caption.jpg?w=500&h=400&s=1,National Garden,26.,https://www.tripadvisor.com/Attraction_Review-g189400-d246658-Reviews-National_Garden-Athens_Attica.html#REVIEWS,Gardens,Zappeion,https://www.tripadvisor.com/Profile/JuliaMariaHoN,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,By,JuliaMariaHoN,https://www.tripadvisor.com/ShowUserReviews-g189400-d246658-r587124076-National_Garden-Athens_Attica.html,Very,beautiful park,with lots of winding paths you can get comfortably lost in.,•,Open now
335,https://www.tripadvisor.com/Attraction_Review-g189400-d198777-Reviews-Psirri-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/e8/fe/5d/caption.jpg?w=500&h=400&s=1,Psirri,27.,https://www.tripadvisor.com/Attraction_Review-g189400-d198777-Reviews-Psirri-Athens_Attica.html#REVIEWS,Neighborhoods,Psiri,https://www.tripadvisor.com/Profile/LenMrts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f9/b9/9e/lenmrts.jpg?w=100&h=-1&s=1,By,LenMrts,https://www.tripadvisor.com/ShowUserReviews-g189400-d198777-r770033521-Psirri-Athens_Attica.html,A heaven for those who love,street art,and seek out the most authentic gastronomic experiences.,,
"2,363",https://www.tripadvisor.com/Attraction_Review-g189400-d245992-Reviews-Plateia_Syntagmatos-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/b4/0b/53/view-of-the-presidential.jpg?w=500&h=-1&s=1,Plateia Syntagmatos,28.,https://www.tripadvisor.com/Attraction_Review-g189400-d245992-Reviews-Plateia_Syntagmatos-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Syntagma,https://www.tripadvisor.com/Profile/vacationgirl58,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3e/1c/53/vacationgirl58.jpg?w=100&h=-1&s=1,By,vacationgirl58,https://www.tripadvisor.com/ShowUserReviews-g189400-d245992-r680988464-Plateia_Syntagmatos-Athens_Attica.html,This is where The,Parliament Building,is situated and if you’re lucky you might see the guards changing.,,
675,https://www.tripadvisor.com/Attraction_Review-g189400-d242832-Reviews-Kerameikos_Cemetery-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/38/30/c6/keramikos-cemetery.jpg?w=500&h=-1&s=1,Kerameikos Cemetery,29.,https://www.tripadvisor.com/Attraction_Review-g189400-d242832-Reviews-Kerameikos_Cemetery-Athens_Attica.html#REVIEWS,Ancient Ruins • Cemeteries,Psirri / Gazi,https://www.tripadvisor.com/Profile/WindsorP,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,By,WindsorP,https://www.tripadvisor.com/ShowUserReviews-g189400-d242832-r587150820-Kerameikos_Cemetery-Athens_Attica.html,... and monuments.This is a very interesting site and the,small museum,is also excellent.Well worth a leisurely visit.,,
693,https://www.tripadvisor.com/Attraction_Review-g189400-d566808-Reviews-Central_Market-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/49/cc/96/central-market.jpg?w=500&h=-1&s=1,Central Market,30.,https://www.tripadvisor.com/Attraction_Review-g189400-d566808-Reviews-Central_Market-Athens_Attica.html#REVIEWS,Flea & Street Markets,Omonia,https://www.tripadvisor.com/Profile/daffdave,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/82/6e/eb/daffdave.jpg?w=100&h=-1&s=1,By,daffdave,https://www.tripadvisor.com/ShowUserReviews-g189400-d566808-r772412033-Central_Market-Athens_Attica.html,You will see most parts of the animal in the,meat market,it's a great place to grab something if you want to cook .Th...,•,Open now
1,,,,,,2,,,,,,,,,,,
727,https://www.tripadvisor.com/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d4/a9/57/museum-of-the-stoa-of.jpg?w=500&h=-1&s=1,Museum of the Ancient Agora,31.,https://www.tripadvisor.com/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html#REVIEWS,History Museums,Monastiraki,https://www.tripadvisor.com/Profile/ruthek85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,By,ruthek85,https://www.tripadvisor.com/ShowUserReviews-g189400-d3672094-r566297158-Museum_of_the_Ancient_Agora-Athens_Attica.html,The Stoa of Attalos is a fascinating building with several rows of colonnades and several rooms of,artifacts,.,•,Temporarily closed
429,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a8/f3/92/da-theseion.jpg?w=500&h=-1&s=1,Stoa of Attalos,32.,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html#REVIEWS,Historic Sites,Monastiraki,https://www.tripadvisor.com/Profile/sofin895,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,By,sofin895,https://www.tripadvisor.com/ShowUserReviews-g189400-d198754-r573500814-Stoa_of_Attalos-Athens_Attica.html,It was housing shops in the antiquity and nowadays houses the museum of the,ancient agora,", where you can see artifact...",,
"1,263",https://www.tripadvisor.com/Attraction_Review-g189400-d245993-Reviews-Tomb_of_the_Unknown_Soldier-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/23/a5/tomb-of-the-unknown-soldier.jpg?w=500&h=-1&s=1,Tomb of the Unknown Soldier,33.,https://www.tripadvisor.com/Attraction_Review-g189400-d245993-Reviews-Tomb_of_the_Unknown_Soldier-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Syntagma,https://www.tripadvisor.com/Profile/Escape-overseas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,By,Escape-overseas,https://www.tripadvisor.com/ShowUserReviews-g189400-d245993-r669892499-Tomb_of_the_Unknown_Soldier-Athens_Attica.html,Located in front of the,Parliament building,", guarded day and night by two soldiers in traditional uniform.",,
