WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href,WlYyy 2,WlYyy 3
82,https://www.tripadvisor.com/Attraction_Review-g187497-d12674080-Reviews-Torres_Venecianes-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3e/25/ef/twin-towers.jpg?w=500&h=400&s=1,Torres Venecianes,142.,https://www.tripadvisor.com/Attraction_Review-g187497-d12674080-Reviews-Torres_Venecianes-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Observation Decks & Towers,Sants-Montjuíc
111,https://www.tripadvisor.com/Attraction_Review-g187497-d7804964-Reviews-Passeig_del_Colom-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/50/3f/8a/passeig-del-colom.jpg?w=500&h=-1&s=1,Passeig del Colom,143.,https://www.tripadvisor.com/Attraction_Review-g187497-d7804964-Reviews-Passeig_del_Colom-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
230,https://www.tripadvisor.com/Attraction_Review-g187497-d244201-Reviews-Center_of_Contemporary_Culture_of_Barcelona_CCCB-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3b/0b/ad/cccb.jpg?w=500&h=400&s=1,Center of Contemporary Culture of Barcelona (CCCB),144.,https://www.tripadvisor.com/Attraction_Review-g187497-d244201-Reviews-Center_of_Contemporary_Culture_of_Barcelona_CCCB-Barcelona_Catalonia.html#REVIEWS,History Museums,El Raval
50,https://www.tripadvisor.com/Attraction_Review-g187497-d8866286-Reviews-Jardins_de_Laribal-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8e/48/ce/jardins-teatre-grec-laribal.jpg?w=500&h=-1&s=1,Jardins de Laribal,145.,https://www.tripadvisor.com/Attraction_Review-g187497-d8866286-Reviews-Jardins_de_Laribal-Barcelona_Catalonia.html#REVIEWS,Gardens,Sants-Montjuíc
61,https://www.tripadvisor.com/Attraction_Review-g187497-d4414261-Reviews-MUHBA_Refugi_307-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/34/2e/cd/muhba-shelter-307.jpg?w=500&h=400&s=1,MUHBA Refugi 307,146.,https://www.tripadvisor.com/Attraction_Review-g187497-d4414261-Reviews-MUHBA_Refugi_307-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Sants-Montjuíc
29,https://www.tripadvisor.com/Attraction_Review-g187497-d13154025-Reviews-Prision_La_Modelo-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/4e/97/69/20180310-104747-largejpg.jpg?w=500&h=400&s=1,Prision La Modelo,147.,https://www.tripadvisor.com/Attraction_Review-g187497-d13154025-Reviews-Prision_La_Modelo-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Eixample
32,https://www.tripadvisor.com/Attraction_Review-g187497-d11793916-Reviews-Palau_Reial_Major-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/06/c7/12/great-historic-buildings.jpg?w=500&h=-1&s=1,Palau Reial Major,148.,https://www.tripadvisor.com/Attraction_Review-g187497-d11793916-Reviews-Palau_Reial_Major-Barcelona_Catalonia.html#REVIEWS,Historic Sites,Barrio Gòtico (Barri Gòtic)
169,https://www.tripadvisor.com/Attraction_Review-g187497-d7376615-Reviews-Palo_Market_Fest-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/84/f5/91/ambiente-fra-le-bancarelle.jpg?w=500&h=-1&s=1,Palo Market Fest,149.,https://www.tripadvisor.com/Attraction_Review-g187497-d7376615-Reviews-Palo_Market_Fest-Barcelona_Catalonia.html#REVIEWS,Flea & Street Markets,Sant Martí
65,https://www.tripadvisor.com/Attraction_Review-g187497-d8702700-Reviews-Plaza_del_Sol-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/55/21/0a/plaza-del-sol.jpg?w=500&h=400&s=1,Plaza del Sol,150.,https://www.tripadvisor.com/Attraction_Review-g187497-d8702700-Reviews-Plaza_del_Sol-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Gracia
1,,,,,,4,5
58,https://www.tripadvisor.com/Attraction_Review-g187497-d6116743-Reviews-Mercat_Abaceria-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c3/32/60/mercat-abaceria.jpg?w=500&h=400&s=1,Mercat Abaceria,151.,https://www.tripadvisor.com/Attraction_Review-g187497-d6116743-Reviews-Mercat_Abaceria-Barcelona_Catalonia.html#REVIEWS,Farmers Markets,Gracia
231,https://www.tripadvisor.com/Attraction_Review-g187497-d7106610-Reviews-Tivoli_Theatre-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fb/87/58/20161227-202525-largejpg.jpg?w=500&h=400&s=1,Tivoli Theatre,152.,https://www.tripadvisor.com/Attraction_Review-g187497-d7106610-Reviews-Tivoli_Theatre-Barcelona_Catalonia.html#REVIEWS,Theaters,La Dreta de l'Eixample
58,https://www.tripadvisor.com/Attraction_Review-g187497-d12352056-Reviews-Placa_de_Gaudi-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/29/ff/41/great-area.jpg?w=500&h=400&s=1,Placa de Gaudi,153.,https://www.tripadvisor.com/Attraction_Review-g187497-d12352056-Reviews-Placa_de_Gaudi-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Parks,Eixample
39,https://www.tripadvisor.com/Attraction_Review-g187497-d8646729-Reviews-Plaza_de_Ramon_Berenguer_el_Gran-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c3/b4/08/placa-ramon-berenguer.jpg?w=500&h=400&s=1,Plaza de Ramon Berenguer el Gran,154.,https://www.tripadvisor.com/Attraction_Review-g187497-d8646729-Reviews-Plaza_de_Ramon_Berenguer_el_Gran-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
79,https://www.tripadvisor.com/Attraction_Review-g187497-d4764185-Reviews-Base_Elements_Urban_Art_Gallery-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/18/ea/a8/base-elements-urban-art.jpg?w=500&h=400&s=1,Base Elements Urban Art Gallery,155.,https://www.tripadvisor.com/Attraction_Review-g187497-d4764185-Reviews-Base_Elements_Urban_Art_Gallery-Barcelona_Catalonia.html#REVIEWS,Art Galleries,Barrio Gòtico (Barri Gòtic)
33,https://www.tripadvisor.com/Attraction_Review-g187497-d12661256-Reviews-Plaja_de_Sant_Sebastian-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/8d/38/c0/photo0jpg.jpg?w=500&h=-1&s=1,Plaja de Sant Sebastian,156.,https://www.tripadvisor.com/Attraction_Review-g187497-d12661256-Reviews-Plaja_de_Sant_Sebastian-Barcelona_Catalonia.html#REVIEWS,Beaches,Port Vell (Old Port)
52,https://www.tripadvisor.com/Attraction_Review-g187497-d10467498-Reviews-Palau_Moja-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7d/25/12/palau-moja-vista-desde.jpg?w=500&h=-1&s=1,Palau Moja,157.,https://www.tripadvisor.com/Attraction_Review-g187497-d10467498-Reviews-Palau_Moja-Barcelona_Catalonia.html#REVIEWS,Visitor Centers,El Congrés i els Indians
46,https://www.tripadvisor.com/Attraction_Review-g187497-d10223979-Reviews-Palau_Robert-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/42/8c/78/elegant-in-architecture.jpg?w=500&h=400&s=1,Palau Robert,158.,https://www.tripadvisor.com/Attraction_Review-g187497-d10223979-Reviews-Palau_Robert-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Eixample
245,https://www.tripadvisor.com/Attraction_Review-g187497-d6116899-Reviews-Parc_de_Joan_Miro-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/2e/1d/3a/praca-vista-de-cima.jpg?w=500&h=-1&s=1,Parc de Joan Miró,159.,https://www.tripadvisor.com/Attraction_Review-g187497-d6116899-Reviews-Parc_de_Joan_Miro-Barcelona_Catalonia.html#REVIEWS,Parks,Eixample
107,https://www.tripadvisor.com/Attraction_Review-g187497-d2321733-Reviews-Torre_de_Collserola-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/50/09/f1/torre-de-collserola.jpg?w=500&h=-1&s=1,Torre de Collserola,160.,https://www.tripadvisor.com/Attraction_Review-g187497-d2321733-Reviews-Torre_de_Collserola-Barcelona_Catalonia.html#REVIEWS,Lookouts,Sarrià
140,https://www.tripadvisor.com/Attraction_Review-g187497-d2487738-Reviews-Parroquia_de_la_Mare_de_Deu_de_Betlem-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a9/3d/07/caption.jpg?w=500&h=-1&s=1,Parroquia de la Mare de Deu de Betlem,161.,https://www.tripadvisor.com/Attraction_Review-g187497-d2487738-Reviews-Parroquia_de_la_Mare_de_Deu_de_Betlem-Barcelona_Catalonia.html#REVIEWS,Churches & Cathedrals,La Rambla
51,https://www.tripadvisor.com/Attraction_Review-g187497-d4346018-Reviews-Casa_Rocamora-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ba/ad/8c/casa-rocamora.jpg?w=500&h=400&s=1,Casa Rocamora,162.,https://www.tripadvisor.com/Attraction_Review-g187497-d4346018-Reviews-Casa_Rocamora-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Gracia
76,https://www.tripadvisor.com/Attraction_Review-g187497-d4960182-Reviews-Basilica_dels_Sants_Martirs_Just_i_Pastor-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3f/b0/7e/organo-al-pie-de-edificio.jpg?w=500&h=400&s=1,Basílica dels Sants Màrtirs Just i Pastor,163.,https://www.tripadvisor.com/Attraction_Review-g187497-d4960182-Reviews-Basilica_dels_Sants_Martirs_Just_i_Pastor-Barcelona_Catalonia.html#REVIEWS,Architectural Buildings • Churches & Cathedrals,Barrio Gòtico (Barri Gòtic)
59,https://www.tripadvisor.com/Attraction_Review-g187497-d2577943-Reviews-Biblioteca_de_Catalunya-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d3/05/41/img-20180516-150452-largejpg.jpg?w=500&h=-1&s=1,Biblioteca de Catalunya,164.,https://www.tripadvisor.com/Attraction_Review-g187497-d2577943-Reviews-Biblioteca_de_Catalunya-Barcelona_Catalonia.html#REVIEWS,Libraries,El Raval
39,https://www.tripadvisor.com/Attraction_Review-g187497-d10538518-Reviews-Antigua_Casa_Figueras-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/18/a7/antigua-casa-figueras.jpg?w=500&h=400&s=1,Antigua Casa Figueras,165.,https://www.tripadvisor.com/Attraction_Review-g187497-d10538518-Reviews-Antigua_Casa_Figueras-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,La Rambla
65,https://www.tripadvisor.com/Attraction_Review-g187497-d8692632-Reviews-La_Casa_de_la_Seda_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f1/ad/b9/casa-del-gremi-dels-velers.jpg?w=500&h=400&s=1,La Casa de la Seda Barcelona,166.,https://www.tripadvisor.com/Attraction_Review-g187497-d8692632-Reviews-La_Casa_de_la_Seda_Barcelona-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,El Born / La Ribera
295,https://www.tripadvisor.com/Attraction_Review-g187497-d244202-Reviews-Fundacio_Antoni_Tapies-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/63/f3/photo0jpg.jpg?w=500&h=-1&s=1,Fundacio Antoni Tapies,167.,https://www.tripadvisor.com/Attraction_Review-g187497-d244202-Reviews-Fundacio_Antoni_Tapies-Barcelona_Catalonia.html#REVIEWS,Speciality Museums • Architectural Buildings,La Dreta de l'Eixample
227,https://www.tripadvisor.com/Attraction_Review-g187497-d2223602-Reviews-Museu_de_la_Catedral-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/dd/6c/4f/museu-de-la-catedral.jpg?w=500&h=-1&s=1,Museu de la Catedral,168.,https://www.tripadvisor.com/Attraction_Review-g187497-d2223602-Reviews-Museu_de_la_Catedral-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Barrio Gòtico (Barri Gòtic)
36,https://www.tripadvisor.com/Attraction_Review-g187497-d528113-Reviews-Manzana_de_la_Discordia-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/12/76/ae/manzana-de-la-discordia.jpg?w=500&h=400&s=1,Manzana de la Discordia,169.,https://www.tripadvisor.com/Attraction_Review-g187497-d528113-Reviews-Manzana_de_la_Discordia-Barcelona_Catalonia.html#REVIEWS,Architectural Buildings,Eixample
90,https://www.tripadvisor.com/Attraction_Review-g187497-d3929138-Reviews-Avenida_del_Paralelo-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e4/b0/6c/avenida-del-paralelo.jpg?w=500&h=400&s=1,Avenida del Paralelo,170.,https://www.tripadvisor.com/Attraction_Review-g187497-d3929138-Reviews-Avenida_del_Paralelo-Barcelona_Catalonia.html#REVIEWS,Historic Walking Areas,Sants-Montjuíc
45,https://www.tripadvisor.com/Attraction_Review-g187497-d6942942-Reviews-Church_of_Sant_Francesc_de_Sales-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d5/49/6b/church-of-sant-francesc.jpg?w=500&h=-1&s=1,Church of Sant Francesc de Sales,171.,https://www.tripadvisor.com/Attraction_Review-g187497-d6942942-Reviews-Church_of_Sant_Francesc_de_Sales-Barcelona_Catalonia.html#REVIEWS,Churches & Cathedrals,Eixample
62,https://www.tripadvisor.com/Attraction_Review-g187497-d7161481-Reviews-Casa_de_l_Ardiaca-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c3/ac/fa/photo1jpg.jpg?w=500&h=-1&s=1,Casa de l'Ardiaca,172.,https://www.tripadvisor.com/Attraction_Review-g187497-d7161481-Reviews-Casa_de_l_Ardiaca-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
117,https://www.tripadvisor.com/Attraction_Review-g187497-d8742797-Reviews-Kbr_Fundacion_Mapfre_Barcelona_Photo_Center-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/3c/96/da/entrada-kbr-fundacion.jpg?w=500&h=-1&s=1,Kbr Fundación Mapfre - Barcelona Photo Center,173.,https://www.tripadvisor.com/Attraction_Review-g187497-d8742797-Reviews-Kbr_Fundacion_Mapfre_Barcelona_Photo_Center-Barcelona_Catalonia.html#REVIEWS,Art Museums,Port Olímpic
93,https://www.tripadvisor.com/Attraction_Review-g187497-d244903-Reviews-Teatre_Poliorama-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f3/92/56/teatre-poliorama.jpg?w=500&h=400&s=1,Teatre Poliorama,174.,https://www.tripadvisor.com/Attraction_Review-g187497-d244903-Reviews-Teatre_Poliorama-Barcelona_Catalonia.html#REVIEWS,Theaters,La Rambla
76,https://www.tripadvisor.com/Attraction_Review-g187497-d7190997-Reviews-Muralla_Romana-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f5/3d/2b/entering-the-roman-walls.jpg?w=500&h=-1&s=1,Muralla Romana,175.,https://www.tripadvisor.com/Attraction_Review-g187497-d7190997-Reviews-Muralla_Romana-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
71,https://www.tripadvisor.com/Attraction_Review-g187497-d6847808-Reviews-La_Virreina_Centre_de_la_Imatge-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/76/04/b6/la-virreina-centre-de.jpg?w=500&h=400&s=1,La Virreina Centre de la Imatge,176.,https://www.tripadvisor.com/Attraction_Review-g187497-d6847808-Reviews-La_Virreina_Centre_de_la_Imatge-Barcelona_Catalonia.html#REVIEWS,Art Galleries,La Rambla
39,https://www.tripadvisor.com/Attraction_Review-g187497-d9566855-Reviews-Jardines_de_Joan_Maragall-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/cf/0b/17/jardins-joan-maragall.jpg?w=500&h=-1&s=1,Jardines de Joan Maragall,177.,https://www.tripadvisor.com/Attraction_Review-g187497-d9566855-Reviews-Jardines_de_Joan_Maragall-Barcelona_Catalonia.html#REVIEWS,Gardens,Sants-Montjuíc
