WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,TCGml,WlYyy 4,iPqaD href 3,dugSS src 2,WlYyy 5,iPqaD,iPqaD href 5,WlYyy 6,dkvhj,WlYyy 7
"10,509",https://www.tripadvisor.com/Attraction_Review-g187323-d190545-Reviews-Berliner_Dom-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2c/54/54/photo0jpg.jpg?w=500&h=400&s=1,Berliner Dom,10.,https://www.tripadvisor.com/Attraction_Review-g187323-d190545-Reviews-Berliner_Dom-Berlin.html#REVIEWS,Architectural Buildings • Churches & Cathedrals,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/SupEvan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,By,SupEvan,https://www.tripadvisor.com/ShowUserReviews-g187323-d190545-r595523486-Berliner_Dom-Berlin.html,An amazing and,beautiful cathedral,in Berlin - it's a great sight and there's a nice park right beside it.
"5,817",https://www.tripadvisor.com/Attraction_Review-g187323-d1595306-Reviews-Neues_Museum-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b6/4b/28/achim-kleuker.jpg?w=500&h=-1&s=1,Neues Museum,11.,https://www.tripadvisor.com/Attraction_Review-g187323-d1595306-Reviews-Neues_Museum-Berlin.html#REVIEWS,Speciality Museums • Art Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/hilarys852,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/79/6c/f9/hilary-s.jpg?w=100&h=-1&s=1,By,hilarys852,https://www.tripadvisor.com/ShowUserReviews-g187323-d1595306-r564168317-Neues_Museum-Berlin.html,A must for fans Egyptology - the,Nefertiti bust,has a room dedicated to it - and it is beautifully displayed.
"2,370",https://www.tripadvisor.com/Attraction_Review-g187323-d559453-Reviews-German_Museum_of_Technology-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b5/69/d0/herrliche-aussicht-vom.jpg?w=500&h=400&s=1,German Museum of Technology,12.,https://www.tripadvisor.com/Attraction_Review-g187323-d559453-Reviews-German_Museum_of_Technology-Berlin.html#REVIEWS,Science Museums,Friedrichshain-Kreuzberg (Borough),•,Open now,https://www.tripadvisor.com/Profile/Quest813120,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,By,Quest813120,https://www.tripadvisor.com/ShowUserReviews-g187323-d559453-r621681751-German_Museum_of_Technology-Berlin.html,"It is a huge museum containing a fantastic collection of trains, planes - both civil and military - and",ships,.
"8,455",https://www.tripadvisor.com/Attraction_Review-g187323-d191290-Reviews-Tiergarten-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/b4/3f/46/tiergarten.jpg?w=500&h=-1&s=1,Tiergarten,13.,https://www.tripadvisor.com/Attraction_Review-g187323-d191290-Reviews-Tiergarten-Berlin.html#REVIEWS,Gardens,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/LouiseCantrillGodden,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,By,LouiseCantrillGodden,https://www.tripadvisor.com/ShowUserReviews-g187323-d191290-r575768291-Tiergarten-Berlin.html,The Tiergarten is a,beautiful park,"to have a leisurely walk, cycle ride, picnic or sit and relax for awhile."
"3,239",https://www.tripadvisor.com/Attraction_Review-g187323-d242760-Reviews-Charlottenburg_Palace-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/91/e6/2d/caption.jpg?w=500&h=-1&s=1&cx=705&cy=535&chk=v1_7e929c2e932a32e56326,Charlottenburg Palace,14.,https://www.tripadvisor.com/Attraction_Review-g187323-d242760-Reviews-Charlottenburg_Palace-Berlin.html#REVIEWS,Historic Sites • Castles,Charlottenburg,•,Open now,https://www.tripadvisor.com/Profile/blairkk25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,By,blairkk25,https://www.tripadvisor.com/ShowUserReviews-g187323-d242760-r614791526-Charlottenburg_Palace-Berlin.html,The,New Wing,"has the Golden Gallery and the Treasury with silver elephants, horses and camels."
"8,848",https://www.tripadvisor.com/Attraction_Review-g187323-d314008-Reviews-Zoo_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/35/64/66/zoo-berlin.jpg?w=500&h=-1&s=1,Zoo Berlin,15.,https://www.tripadvisor.com/Attraction_Review-g187323-d314008-Reviews-Zoo_Berlin-Berlin.html#REVIEWS,Zoos • Aquariums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/NiaMeryl,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,By,NiaMeryl,https://www.tripadvisor.com/ShowUserReviews-g187323-d314008-r563225087-Zoo_Berlin-Berlin.html,"It has such a wide array of animals and I was really impressed that they had pandas, kiwi birds and a",polar bear,!
"3,946",https://www.tripadvisor.com/Attraction_Review-g187323-d274497-Reviews-Deutsches_Historisches_Museum-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/14/de/3f/deutsches-historisches.jpg?w=500&h=-1&s=1,Deutsches Historisches Museum,16.,https://www.tripadvisor.com/Attraction_Review-g187323-d274497-Reviews-Deutsches_Historisches_Museum-Berlin.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/amandamE989BD,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,By,amandamE989BD,https://www.tripadvisor.com/ShowUserReviews-g187323-d274497-r645110480-Deutsches_Historisches_Museum-Berlin.html,"Great and modern architecture is dominating, still it's as place where is all of the",German history,especially the WW...
"2,871",https://www.tripadvisor.com/Attraction_Review-g187323-d242761-Reviews-Olympiastadion_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/47/e1/64/lrm-export-20171112-075938.jpg?w=500&h=-1&s=1,Olympiastadion Berlin,17.,https://www.tripadvisor.com/Attraction_Review-g187323-d242761-Reviews-Olympiastadion_Berlin-Berlin.html#REVIEWS,Arenas & Stadiums,Charlottenburg-Wilmersdorf (Borough),•,Open now,https://www.tripadvisor.com/Profile/UIAlums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,By,UIAlums,https://www.tripadvisor.com/ShowUserReviews-g187323-d242761-r621837973-Olympiastadion_Berlin-Berlin.html,"... until September 2018 I had never visited the beautiful,",historic stadium,where Jesse Owens won four Golds in 1936.
"2,109",https://www.tripadvisor.com/Attraction_Review-g187323-d190595-Reviews-Gemaldegalerie-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/78/dd/d0/achim-kleuker.jpg?w=500&h=400&s=1,Gemaldegalerie,18.,https://www.tripadvisor.com/Attraction_Review-g187323-d190595-Reviews-Gemaldegalerie-Berlin.html#REVIEWS,Art Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/Flondy,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/de/1a/81/flondy.jpg?w=100&h=-1&s=1,By,Flondy,https://www.tripadvisor.com/ShowUserReviews-g187323-d190595-r644386773-Gemaldegalerie-Berlin.html,Fantastic collection of,Old Masters,from 13th C to 18th C. Lots to see Good Explanations.
"7,585",https://www.tripadvisor.com/Attraction_Review-g187323-d190695-Reviews-Gendarmenmarkt-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/29/9c/8b/gendarmenmarkt.jpg?w=500&h=-1&s=1,Gendarmenmarkt,19.,https://www.tripadvisor.com/Attraction_Review-g187323-d190695-Reviews-Gendarmenmarkt-Berlin.html#REVIEWS,Points of Interest & Landmarks,Mitte (Borough),,,https://www.tripadvisor.com/Profile/kevintM6284FI,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/ce/default-avatar-2020-7.jpg?w=100&h=-1&s=1,By,kevintM6284FI,https://www.tripadvisor.com/ShowUserReviews-g187323-d190695-r638769291-Gendarmenmarkt-Berlin.html,Excellent central location for,christmas market,"- very busy over the weekend and evenings, but plenty of food and dri..."
"1,103",https://www.tripadvisor.com/Attraction_Review-g187323-d2136682-Reviews-Classic_Remise_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/91/08/af/classic-remise-berlin.jpg?w=500&h=-1&s=1,Classic Remise Berlin,20.,https://www.tripadvisor.com/Attraction_Review-g187323-d2136682-Reviews-Classic_Remise_Berlin-Berlin.html#REVIEWS,Speciality Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/DayTrip51343885399,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,By,DayTrip51343885399,https://www.tripadvisor.com/ShowUserReviews-g187323-d2136682-r744594802-Classic_Remise_Berlin-Berlin.html,... as well as the whole idea of having classic cars,for sale,and on display as well as working restoration shops und...
"3,224",https://www.tripadvisor.com/Attraction_Review-g187323-d195027-Reviews-Berliner_Philharmonie-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c1/9a/fd/grosser-saal.jpg?w=500&h=-1&s=1,Berliner Philharmonie,21.,https://www.tripadvisor.com/Attraction_Review-g187323-d195027-Reviews-Berliner_Philharmonie-Berlin.html#REVIEWS,Symphonies • Architectural Buildings,Mitte (Borough),,,https://www.tripadvisor.com/Profile/168bernhardc,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/53/ac/61/bco49.jpg?w=100&h=-1&s=1,By,168bernhardc,https://www.tripadvisor.com/ShowUserReviews-g187323-d195027-r715510562-Berliner_Philharmonie-Berlin.html,Great,concert,", wonderful sound, helped by the unusual positioning of the orchestra (violas separated from the violins..."
"4,585",https://www.tripadvisor.com/Attraction_Review-g187323-d190541-Reviews-Kaiser_Wilhelm_Memorial_Church-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1e/b8/e2/kaiser-wilhelm-memorial.jpg?w=500&h=-1&s=1,Kaiser Wilhelm Memorial Church,22.,https://www.tripadvisor.com/Attraction_Review-g187323-d190541-Reviews-Kaiser_Wilhelm_Memorial_Church-Berlin.html#REVIEWS,Religious Sites,Charlottenburg,•,Open now,https://www.tripadvisor.com/Profile/lisah0711,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,By,lisah0711,https://www.tripadvisor.com/ShowUserReviews-g187323-d190541-r594303983-Kaiser_Wilhelm_Memorial_Church-Berlin.html,"Once inside, we were surrounded by the richest, deep blue - a nearly 360-degree wrap of indigo-",stained glass,windows.
"1,923",https://www.tripadvisor.com/Attraction_Review-g187323-d8703348-Reviews-German_Spy_Museum_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f6/d4/e1/laser-parcours.jpg?w=500&h=400&s=1,German Spy Museum Berlin,23.,https://www.tripadvisor.com/Attraction_Review-g187323-d8703348-Reviews-German_Spy_Museum_Berlin-Berlin.html#REVIEWS,Speciality Museums • History Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/forest_rose,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/86/avatar007.jpg?w=100&h=-1&s=1,By,forest_rose,https://www.tripadvisor.com/ShowUserReviews-g187323-d8703348-r656976395-German_Spy_Museum_Berlin-Berlin.html,"This was a fantastic museum, with lots of interactive activities to try including a",laser maze,and an invisible ink lab.
"2,577",https://www.tripadvisor.com/Attraction_Review-g187323-d313983-Reviews-Berlin_Hohenschonhausen_Memorial-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/40/7f/32/esterno.jpg?w=500&h=-1&s=1,Berlin-Hohenschonhausen Memorial,24.,https://www.tripadvisor.com/Attraction_Review-g187323-d313983-Reviews-Berlin_Hohenschonhausen_Memorial-Berlin.html#REVIEWS,Historic Sites,Lichtenberg (Borough),•,Open now,https://www.tripadvisor.com/Profile/Michel_Honore,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f2/8b/c7/michel-honore.jpg?w=100&h=-1&s=1,By,Michel_Honore,https://www.tripadvisor.com/ShowUserReviews-g187323-d313983-r631553299-Berlin_Hohenschonhausen_Memorial-Berlin.html,"If you are lucky (and speak/understand German), you may get your guided tour from an actual",former inmate,", interned h..."
"1,739",https://www.tripadvisor.com/Attraction_Review-g187323-d816093-Reviews-Museum_fuer_Naturkunde_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/46/88/d0/museum-showcase.jpg?w=500&h=-1&s=1,Museum fuer Naturkunde Berlin,25.,https://www.tripadvisor.com/Attraction_Review-g187323-d816093-Reviews-Museum_fuer_Naturkunde_Berlin-Berlin.html#REVIEWS,Natural History Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/E6551IBnicolap,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/84/3e/a2/nicola-p.jpg?w=100&h=-1&s=1,By,E6551IBnicolap,https://www.tripadvisor.com/ShowUserReviews-g187323-d816093-r604778772-Museum_fuer_Naturkunde_Berlin-Berlin.html,There is a free,audio guide,available in more languages.
"1,768",https://www.tripadvisor.com/Attraction_Review-g187323-d547846-Reviews-Stasimuseum-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f9/76/3a/photo1jpg.jpg?w=500&h=-1&s=1,Stasimuseum,26.,https://www.tripadvisor.com/Attraction_Review-g187323-d547846-Reviews-Stasimuseum-Berlin.html#REVIEWS,Speciality Museums,Lichtenberg,•,Open now,https://www.tripadvisor.com/Profile/441fergusm,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e1/0b/74/fergus-m.jpg?w=100&h=-1&s=1,By,441fergusm,https://www.tripadvisor.com/ShowUserReviews-g187323-d547846-r631064067-Stasimuseum-Berlin.html,"If the DDR Museum shows a playful, simple view of the former East Germany, then the",Stasi Museum,shows the other side.
"2,073",https://www.tripadvisor.com/Attraction_Review-g187323-d195030-Reviews-Palace_of_Tears-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a0/ae/e5/palace-of-tears.jpg?w=500&h=-1&s=1,Palace of Tears,27.,https://www.tripadvisor.com/Attraction_Review-g187323-d195030-Reviews-Palace_of_Tears-Berlin.html#REVIEWS,History Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/B1714D,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e9/1e/a7/b1714d.jpg?w=100&h=-1&s=1,By,B1714D,https://www.tripadvisor.com/ShowUserReviews-g187323-d195030-r752322917-Palace_of_Tears-Berlin.html,"... the very center of Berlin, just beside the",Friedrichstrasse station,- one of capitals main transportation hubs wi...
"3,717",https://www.tripadvisor.com/Attraction_Review-g187323-d501639-Reviews-Victory_Column_Siegessaule-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/08/1c/siegessaule.jpg?w=500&h=-1&s=1,Victory Column (Siegessaule),28.,https://www.tripadvisor.com/Attraction_Review-g187323-d501639-Reviews-Victory_Column_Siegessaule-Berlin.html#REVIEWS,Monuments & Statues,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/Ulysses336,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,By,Ulysses336,https://www.tripadvisor.com/ShowUserReviews-g187323-d501639-r596211430-Victory_Column_Siegessaule-Berlin.html,The Victory Column is at the end of June 17 th 1953 Avenue which connects the,Brandenburg Gate,to this monument ; unt...
"2,033",https://www.tripadvisor.com/Attraction_Review-g187323-d590899-Reviews-Treptower_Park-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/1b/c8/7b/treptower-park.jpg?w=500&h=400&s=1,Treptower Park,29.,https://www.tripadvisor.com/Attraction_Review-g187323-d590899-Reviews-Treptower_Park-Berlin.html#REVIEWS,Parks,Treptow-Köpenick (Borough),•,Open now,https://www.tripadvisor.com/Profile/ortwena,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/43/default-avatar-2020-11.jpg?w=100&h=-1&s=1,By,ortwena,https://www.tripadvisor.com/ShowUserReviews-g187323-d590899-r669614956-Treptower_Park-Berlin.html,The park is big and nice! make sure to rent bicycles and travel around the park go to the,Soviet memorial,grab some c...
669,https://www.tripadvisor.com/Attraction_Review-g187323-d191044-Reviews-Prenzlauer_Berg-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c5/8e/86/prenzlauer-berg.jpg?w=500&h=400&s=1,Prenzlauer Berg,30.,https://www.tripadvisor.com/Attraction_Review-g187323-d191044-Reviews-Prenzlauer_Berg-Berlin.html#REVIEWS,Neighborhoods,Prenzlauer Berg,,,,,,,,,,
1,,,,,,2,,,,,,,,,,,
2,,,,,,1,3,,,,,,,,,,
440,https://www.tripadvisor.com/Attraction_Review-g187323-d191439-Reviews-Kreuzberg-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/16/fa/5e/oberbaum-bridge.jpg?w=500&h=-1&s=1,Kreuzberg,31.,https://www.tripadvisor.com/Attraction_Review-g187323-d191439-Reviews-Kreuzberg-Berlin.html#REVIEWS,Neighborhoods,Friedrichshain-Kreuzberg (Borough),,,,,,,,,,
822,https://www.tripadvisor.com/Attraction_Review-g187323-d2062972-Reviews-Tempelhof_Airport-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/69/8e/a8/photo-de-l-aeroport.jpg?w=500&h=-1&s=1,Tempelhof Airport,32.,https://www.tripadvisor.com/Attraction_Review-g187323-d2062972-Reviews-Tempelhof_Airport-Berlin.html#REVIEWS,Speciality Museums,Tempelhof,•,Open now,https://www.tripadvisor.com/Profile/Komakino66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/d0/01/35/komakino66.jpg?w=100&h=-1&s=1,By,Komakino66,https://www.tripadvisor.com/ShowUserReviews-g187323-d2062972-r709877112-Tempelhof_Airport-Berlin.html,"However, the 2 hour",guided tour,certainly does it justice and is something I would recommend to history buffs and any...
"6,130",https://www.tripadvisor.com/Attraction_Review-g187323-d619185-Reviews-DDR_Museum-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/61/57/c1/eingang-des-ddr-museum.jpg?w=500&h=400&s=1,DDR Museum,33.,https://www.tripadvisor.com/Attraction_Review-g187323-d619185-Reviews-DDR_Museum-Berlin.html#REVIEWS,Speciality Museums,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/196tiagos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,By,196tiagos,https://www.tripadvisor.com/ShowUserReviews-g187323-d619185-r619518123-DDR_Museum-Berlin.html,"Best museum in Berlin, showing what life was like in",East Germany,": people's lifestyle, art, culture, music, sports, c..."
