WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,iPqaD href 3,dugSS src 2,WlYyy 3,iPqaD,iPqaD href 5,WlYyy 4,dkvhj,WlYyy 5,WlYyy 6
796,https://www.tripadvisor.com/Attraction_Review-g293734-d318049-Reviews-Dar_Si_Said_Museum-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/02/ac/5f/museo-de-las-artes-marroquies.jpg?w=500&h=400&s=1,Dar Si Said Museum,11.,https://www.tripadvisor.com/Attraction_Review-g293734-d318049-Reviews-Dar_Si_Said_Museum-Marrakech_Marrakech_Safi.html#REVIEWS,Speciality Museums,https://www.tripadvisor.com/Profile/Guelue,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,By,Guelue,https://www.tripadvisor.com/ShowUserReviews-g293734-d318049-r671973185-Dar_Si_Said_Museum-Marrakech_Marrakech_Safi.html,... which I found pretty close in beauty to the,Bahia palace,", and here are very few visitors, so you have the chance ...",Open now
"3,074",https://www.tripadvisor.com/Attraction_Review-g293734-d318037-Reviews-El_Badi_Palace-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/01/14/37/photo2jpg.jpg?w=500&h=-1&s=1,El Badi Palace,12.,https://www.tripadvisor.com/Attraction_Review-g293734-d318037-Reviews-El_Badi_Palace-Marrakech_Marrakech_Safi.html#REVIEWS,Historic Sites,https://www.tripadvisor.com/Profile/Samuel_B-M_Travels,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/56/avatar029.jpg?w=100&h=-1&s=1,By,Samuel_B-M_Travels,https://www.tripadvisor.com/ShowUserReviews-g293734-d318037-r760828214-El_Badi_Palace-Marrakech_Marrakech_Safi.html,The El Badi Palace is the remarkably preserved,ruins,"of the historic palace of the 16th century Sultan, Ahmad al-Mans...",Open now
"9,197",https://www.tripadvisor.com/Attraction_Review-g293734-d308902-Reviews-Medersa_Ben_Youssef-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/68/dd/3e/photo0jpg.jpg?w=500&h=-1&s=1,Medersa Ben Youssef,13.,https://www.tripadvisor.com/Attraction_Review-g293734-d308902-Reviews-Medersa_Ben_Youssef-Marrakech_Marrakech_Safi.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,https://www.tripadvisor.com/Profile/Mizeranda,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a0/e6/a0/g3044penataliam.jpg?w=100&h=-1&s=1,By,Mizeranda,https://www.tripadvisor.com/ShowUserReviews-g293734-d308902-r686315751-Medersa_Ben_Youssef-Marrakech_Marrakech_Safi.html,and sculpting works there are unbelievable.,Mosaics,,Open now
641,https://www.tripadvisor.com/Attraction_Review-g293734-d3227171-Reviews-Moroccan_Active_Adventures-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/47/67/74/marrakech-tours-excursions.jpg?w=500&h=400&s=1,Moroccan Active Adventures,14.,https://www.tripadvisor.com/Attraction_Review-g293734-d3227171-Reviews-Moroccan_Active_Adventures-Marrakech_Marrakech_Safi.html#REVIEWS,Sports Camps & Clinics,https://www.tripadvisor.com/Profile/fouxdufafa0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c8/89/f7/kiwi29418.jpg?w=100&h=-1&s=1,By,fouxdufafa0,https://www.tripadvisor.com/ShowUserReviews-g293734-d3227171-r592493641-Moroccan_Active_Adventures-Marrakech_Marrakech_Safi.html,Highlights for me included,quad biking,"the dunes of Erg Chebbi, the amazing Xaluca Dades hotel and the many gorgeous...",
434,https://www.tripadvisor.com/Attraction_Review-g293734-d654179-Reviews-Nikki_Beach-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/a9/9a/nikki-beach.jpg?w=500&h=-1&s=1,Nikki Beach,15.,https://www.tripadvisor.com/Attraction_Review-g293734-d654179-Reviews-Nikki_Beach-Marrakech_Marrakech_Safi.html#REVIEWS,Beach & Pool Clubs,https://www.tripadvisor.com/Profile/Maayla-33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,By,Maayla-33,https://www.tripadvisor.com/ShowUserReviews-g293734-d654179-r591669360-Nikki_Beach-Marrakech_Marrakech_Safi.html,If you are looking for a,luxury,place to enjoy your day then it is the best place.,Open now
"5,378",https://www.tripadvisor.com/Attraction_Review-g293734-d318040-Reviews-Saadian_Tombs-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/02/c3/e4/saadian-tombs.jpg?w=500&h=-1&s=1,Saadian Tombs,16.,https://www.tripadvisor.com/Attraction_Review-g293734-d318040-Reviews-Saadian_Tombs-Marrakech_Marrakech_Safi.html#REVIEWS,Architectural Buildings • Cemeteries,https://www.tripadvisor.com/Profile/dianehopetravels,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,By,dianehopetravels,https://www.tripadvisor.com/ShowUserReviews-g293734-d318040-r736109327-Saadian_Tombs-Marrakech_Marrakech_Safi.html,"We learned about a lot of embedded symbolism within the tiles,",architecture,and about the tombs and burial process.,Open now
"1,473",https://www.tripadvisor.com/Attraction_Review-g293734-d1382960-Reviews-Marrakech_Train_Station-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/67/25/6d/station-marrakesh.jpg?w=500&h=-1&s=1,Marrakech Train Station,17.,https://www.tripadvisor.com/Attraction_Review-g293734-d1382960-Reviews-Marrakech_Train_Station-Marrakech_Marrakech_Safi.html#REVIEWS,Architectural Buildings,https://www.tripadvisor.com/Profile/ACGII,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,By,ACGII,https://www.tripadvisor.com/ShowUserReviews-g293734-d1382960-r598064461-Marrakech_Train_Station-Marrakech_Marrakech_Safi.html,Passed through this train station twice coming from,Casablanca,and then going to Tangier The station is near the Medi...,
983,https://www.tripadvisor.com/Attraction_Review-g293734-d656363-Reviews-Cyber_Parc_Arsat_Moulay_Abdeslam-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/92/ff/20/20180406-125334-largejpg.jpg?w=500&h=-1&s=1,Cyber Parc Arsat Moulay Abdeslam,18.,https://www.tripadvisor.com/Attraction_Review-g293734-d656363-Reviews-Cyber_Parc_Arsat_Moulay_Abdeslam-Marrakech_Marrakech_Safi.html#REVIEWS,Parks,https://www.tripadvisor.com/Profile/sailor62Nottingham,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/d1/b0/68/sailor62nottingham.jpg?w=100&h=-1&s=1,By,sailor62Nottingham,https://www.tripadvisor.com/ShowUserReviews-g293734-d656363-r564277128-Cyber_Parc_Arsat_Moulay_Abdeslam-Marrakech_Marrakech_Safi.html,"Situated close to Jemaa el Fna and the mosque, you may find this",park,useful for a quiet sit down or a stroll when it...,Open now
213,https://www.tripadvisor.com/Attraction_Review-g293734-d13543418-Reviews-The_Orientalist_Museum_of_Marrakech-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6c/1d/c0/jeu-de-lumiere-et-d-ombre.jpg?w=500&h=400&s=1,The Orientalist Museum of Marrakech,19.,https://www.tripadvisor.com/Attraction_Review-g293734-d13543418-Reviews-The_Orientalist_Museum_of_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,Speciality Museums • Art Museums,https://www.tripadvisor.com/Profile/425michelep,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,By,425michelep,https://www.tripadvisor.com/ShowUserReviews-g293734-d13543418-r633813934-The_Orientalist_Museum_of_Marrakech-Marrakech_Marrakech_Safi.html,"Set in a restored 17th century riad, it houses a collection of Orientalist",paintings,by western artists.,Open now
900,https://www.tripadvisor.com/Attraction_Review-g293734-d1466973-Reviews-Oasiria-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/7c/00/6c/le-bateau-pirate.jpg?w=500&h=400&s=1,Oasiria,20.,https://www.tripadvisor.com/Attraction_Review-g293734-d1466973-Reviews-Oasiria-Marrakech_Marrakech_Safi.html#REVIEWS,Water Parks • Gardens,,,,,,,,,Open now
465,https://www.tripadvisor.com/Attraction_Review-g293734-d4787710-Reviews-Aqua_Fun_Club-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/3b/bc/ac/aqua-fun-club.jpg?w=500&h=-1&s=1,Aqua Fun Club,21.,https://www.tripadvisor.com/Attraction_Review-g293734-d4787710-Reviews-Aqua_Fun_Club-Marrakech_Marrakech_Safi.html#REVIEWS,Water Parks,https://www.tripadvisor.com/Profile/craigcH5323PS,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg?w=100&h=-1&s=1,By,craigcH5323PS,https://www.tripadvisor.com/ShowUserReviews-g293734-d4787710-r623012044-Aqua_Fun_Club-Marrakech_Marrakech_Safi.html,The,animation team,were fantastic.. always very friendly and a good laugh.. love the actives during the day and the n...,
398,https://www.tripadvisor.com/Attraction_Review-g293734-d6451076-Reviews-Boucharouite_Museum-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/ca/ca/9d/merece-la-pena-visitarlo.jpg?w=500&h=400&s=1,Boucharouite Museum,22.,https://www.tripadvisor.com/Attraction_Review-g293734-d6451076-Reviews-Boucharouite_Museum-Marrakech_Marrakech_Safi.html#REVIEWS,Speciality Museums,,,,,,,,,Open now
520,https://www.tripadvisor.com/Attraction_Review-g293734-d550588-Reviews-Rahba_Kedima_Square-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/21/42/39/caption.jpg?w=500&h=400&s=1,Rahba Kedima Square,23.,https://www.tripadvisor.com/Attraction_Review-g293734-d550588-Reviews-Rahba_Kedima_Square-Marrakech_Marrakech_Safi.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,,Open now
579,https://www.tripadvisor.com/Attraction_Review-g293734-d8285991-Reviews-Menara_Mall-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/18/03/9e/vue-generale-facade.jpg?w=500&h=-1&s=1,Menara Mall,24.,https://www.tripadvisor.com/Attraction_Review-g293734-d8285991-Reviews-Menara_Mall-Marrakech_Marrakech_Safi.html#REVIEWS,Shopping Malls,,,,,,,,,
876,https://www.tripadvisor.com/Attraction_Review-g293734-d318058-Reviews-Gueliz-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/0e/7d/6c/gueliz.jpg?w=500&h=400&s=1,Gueliz,25.,https://www.tripadvisor.com/Attraction_Review-g293734-d318058-Reviews-Gueliz-Marrakech_Marrakech_Safi.html#REVIEWS,Neighborhoods • Historic Walking Areas,,,,,,,,,
273,https://www.tripadvisor.com/Attraction_Review-g293734-d5773666-Reviews-Musee_de_la_Musique-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/5a/af/b3/beautiful-sculture-in.jpg?w=500&h=400&s=1,Musée de la Musique,26.,https://www.tripadvisor.com/Attraction_Review-g293734-d5773666-Reviews-Musee_de_la_Musique-Marrakech_Marrakech_Safi.html#REVIEWS,Speciality Museums,,,,,,,,,Open now
899,https://www.tripadvisor.com/Attraction_Review-g293734-d318043-Reviews-Museum_of_Marrakesh-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/82/b1/81/museum-of-marrakesh.jpg?w=500&h=-1&s=1,Museum of Marrakesh,27.,https://www.tripadvisor.com/Attraction_Review-g293734-d318043-Reviews-Museum_of_Marrakesh-Marrakech_Marrakech_Safi.html#REVIEWS,Speciality Museums,,,,,,,,,
980,https://www.tripadvisor.com/Attraction_Review-g293734-d318056-Reviews-Menara_Gardens_and_Pavilion-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/00/30/77/menara-gardens-and-pavilion.jpg?w=500&h=400&s=1,Menara Gardens and Pavilion,28.,https://www.tripadvisor.com/Attraction_Review-g293734-d318056-Reviews-Menara_Gardens_and_Pavilion-Marrakech_Marrakech_Safi.html#REVIEWS,Historic Walking Areas • Gardens,,,,,,,,,Open now
676,https://www.tripadvisor.com/Attraction_Review-g293734-d478122-Reviews-Mellah-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/34/a4/les-ruelles-du-mellah.jpg?w=500&h=-1&s=1,Mellah,29.,https://www.tripadvisor.com/Attraction_Review-g293734-d478122-Reviews-Mellah-Marrakech_Marrakech_Safi.html#REVIEWS,Historic Sites,https://www.tripadvisor.com/Profile/TomiV352,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/2a/73/c5/tomi-v.jpg?w=100&h=-1&s=1,By,TomiV352,https://www.tripadvisor.com/ShowUserReviews-g293734-d478122-r624513759-Mellah-Marrakech_Marrakech_Safi.html,Narrow streets of the quarter return me back 60 years when the,Jews,"still lived here for centuries, and then almost a...",
944,https://www.tripadvisor.com/Attraction_Review-g293734-d318041-Reviews-Tanneries-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/57/3b/d5/tanneries.jpg?w=500&h=-1&s=1,Tanneries,30.,https://www.tripadvisor.com/Attraction_Review-g293734-d318041-Reviews-Tanneries-Marrakech_Marrakech_Safi.html#REVIEWS,Neighborhoods,,,,,,,,,
1,,,,,,2,,,,,,,,,
"49,956",https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4f/7f/06/20190418-125956-largejpg.jpg?w=500&h=400&s=1,Jardin Majorelle,1.,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html#REVIEWS,Gardens,https://www.tripadvisor.com/Profile/Mattel89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4c/d4/65/caption.jpg?w=100&h=-1&s=1,By,Mattel89,https://www.tripadvisor.com/ShowUserReviews-g293734-d477277-r570231190-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,"Definitely “must see” in Marrakech,",beautiful garden,", lots of birds, amazing plants, palms, cactus etc., really peace...",
2,,,,,,1,,,3,,,,,,
24,https://www.tripadvisor.com/Attraction_Review-g293734-d15019567-Reviews-Adouar_Marrakech-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/22/da/c3/getlstd-property-photo.jpg?w=500&h=400&s=1,Adouar Marrakech,61.,https://www.tripadvisor.com/Attraction_Review-g293734-d15019567-Reviews-Adouar_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,,Open now
44,https://www.tripadvisor.com/Attraction_Review-g293734-d3620537-Reviews-Jardin_Bio_Aromatique_Nectarome-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/3e/30/e1/jardin-bio-aromatique.jpg?w=500&h=-1&s=1,Jardin Bio Aromatique Nectarome,62.,https://www.tripadvisor.com/Attraction_Review-g293734-d3620537-Reviews-Jardin_Bio_Aromatique_Nectarome-Marrakech_Marrakech_Safi.html#REVIEWS,Gardens,,,,,,,,,
97,https://www.tripadvisor.com/Attraction_Review-g293734-d2267841-Reviews-Food_Markets_of_Marrakech-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/bf/8c/a2/food-for-all.jpg?w=500&h=400&s=1,Food Markets of Marrakech,63.,https://www.tripadvisor.com/Attraction_Review-g293734-d2267841-Reviews-Food_Markets_of_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,Flea & Street Markets,,,,,,,,,Open now
25,https://www.tripadvisor.com/Attraction_Review-g293734-d9730511-Reviews-Theatre_Royal-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/26/c4/d7/royal-theatre.jpg?w=500&h=400&s=1,Theatre Royal,64.,https://www.tripadvisor.com/Attraction_Review-g293734-d9730511-Reviews-Theatre_Royal-Marrakech_Marrakech_Safi.html#REVIEWS,Theaters,,,,,,,,,
94,https://www.tripadvisor.com/Attraction_Review-g293734-d481111-Reviews-Royal_Palace_of_Marrakech-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/9c/2d/d9/royal-palace-of-marrakech.jpg?w=500&h=-1&s=1,Royal Palace of Marrakech,65.,https://www.tripadvisor.com/Attraction_Review-g293734-d481111-Reviews-Royal_Palace_of_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,Architectural Buildings,,,,,,,,,
8,https://www.tripadvisor.com/Attraction_Review-g293734-d9784340-Reviews-Cactus_Thiemann-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/88/ee/28/cactus-thiemann.jpg?w=500&h=-1&s=1,Cactus Thiemann,66.,https://www.tripadvisor.com/Attraction_Review-g293734-d9784340-Reviews-Cactus_Thiemann-Marrakech_Marrakech_Safi.html#REVIEWS,Gardens,,,,,,,,,Open now
69,https://www.tripadvisor.com/Attraction_Review-g293734-d3681176-Reviews-Agdal_Gardens-Marrakech_Marrakech_Safi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f8/c7/cd/sc-20160415135549-largejpg.jpg?w=500&h=-1&s=1,Agdal Gardens,67.,https://www.tripadvisor.com/Attraction_Review-g293734-d3681176-Reviews-Agdal_Gardens-Marrakech_Marrakech_Safi.html#REVIEWS,Gardens,,,,,,,,,
